ID,nom,recompenses,carriere_duree,films_series,naissance,pays,metier_1,metier_2,metier_3
4,John Colicos,0,39,22,0,0,0,0,0
5,Michael Lerner,0,52,82,0,0,0,0,0
6,Anjelica Huston,2,56,74,0,0,0,0,0
7,Ulu Grosbard,0,51,8,0,0,0,0,0
8,Robert De Niro,6,61,148,0,0,0,0,0
9,Meryl Streep,22,46,95,0,0,0,0,0
10,Harvey Keitel,1,57,159,0,0,0,0,0
11,Dianne Wiest,4,43,59,0,0,0,0,0
12,Jane Kaczmarek,0,41,51,0,0,0,0,0
13,George Martin,0,44,34,0,0,0,0,0
14,Christian-Jaque,4,57,61,0,0,0,0,0
15,Gérard Philipe,1,15,31,0,0,0,0,0
16,Gina Lollobrigida,1,63,54,0,0,0,0,0
17,Noël Roquevert,0,37,117,0,0,0,0,0
18,Ernst Lubitsch,0,32,54,0,0,0,0,0
19,Kay Francis,0,13,17,0,0,0,0,0
20,Miriam Hopkins,0,41,25,0,0,0,0,0
21,Herbert Marshall,0,34,45,0,0,0,0,0
22,Charles Ruggles,0,40,37,0,0,0,0,0
23,George Cukor,4,53,70,0,0,0,0,0
24,Katharine Hepburn,9,62,53,0,0,0,0,0
25,Spencer Tracy,5,37,58,0,0,0,0,0
26,Michelangelo Antonioni,6,66,37,0,0,0,0,0
28,Daniela Silverio,0,11,6,0,0,0,0,0
29,Christine Boisson,1,40,59,0,0,0,0,0
30,Marcel Bozzuffi,0,33,54,0,0,0,0,0
31,Agassi Babaian,0,4,2,0,0,0,0,0
32,Vladimir Orlowski,0,4,2,0,0,0,0,0
33,Rick Rosenthal,0,42,41,0,0,0,0,0
35,Donald Pleasence,0,41,141,0,0,0,0,0
36,Charles Cyphers,0,47,35,0,0,0,0,0
37,Wim Wenders,12,55,83,0,0,0,0,0
38,Frederic Forrest,0,35,51,0,0,0,0,0
39,Peter Boyle,0,37,64,0,0,0,0,0
40,Lydia Lei,0,2,3,0,0,0,0,0
41,Marilu Henner,0,44,58,0,0,0,0,0
42,Roy Kinnear,0,32,32,0,0,0,0,0
44,Gérard Pirès,0,39,17,0,0,0,0,0
45,Vincente Minnelli,3,44,37,0,0,0,0,0
46,Jennifer Jones,2,36,26,0,0,0,0,0
47,Louis Jourdan,0,51,47,0,0,0,0,0
48,James Mason,1,49,95,0,0,0,0,0
49,Van Heflin,1,31,45,0,0,0,0,0
50,Bob Fosse,3,34,12,0,0,0,0,0
51,Liza Minnelli,3,65,30,0,0,0,0,0
52,Michael York,0,48,80,0,0,0,0,0
53,Helmut Griem,0,32,25,0,0,0,0,0
54,Marisa Berenson,0,52,68,0,0,0,0,0
55,Aleksandar Petrovic (I),1,31,9,0,0,0,0,0
57,Gordana Jovanovic,0,0,0,0,0,0,0,0
59,Federico Fellini,9,48,38,0,0,0,0,0
60,Broderick Crawford,2,47,53,0,0,0,0,0
61,Richard Basehart,0,35,44,0,0,0,0,0
62,René Clair,1,60,33,0,0,0,0,0
63,Fredric March,6,48,54,0,0,0,0,0
64,Veronica Lake,0,32,16,0,0,0,0,0
65,Robert Benchley,0,12,16,0,0,0,0,0
66,Susan Hayward,4,33,47,0,0,0,0,0
67,Peter Yates,0,52,28,0,0,0,0,0
68,Albert Finney,6,56,59,0,0,0,0,0
69,Tom Courtenay,3,76,50,0,0,0,0,0
70,Edward Fox,2,55,53,0,0,0,0,0
71,Zena Walker,0,16,3,0,0,0,0,0
72,Akira Kurosawa,10,55,38,0,0,0,0,0
73,Toshirô Mifune,1,49,62,0,0,0,0,0
74,Masayuki Mori (I),0,28,25,0,0,0,0,0
75,Setsuko Hara,0,79,18,0,0,0,0,0
76,Russ Meyer,0,30,23,0,0,0,0,0
77,Tura Satana,0,0,4,0,0,0,0,0
78,Haji,0,20,5,0,0,0,0,0
79,Lori Williams,0,0,0,0,0,0,0,0
80,Lindsay Anderson,0,38,17,0,0,0,0,0
82,David Wood,0,38,4,0,0,0,0,0
83,Richard Warwick,0,24,8,0,0,0,0,0
84,Christine Noonan,0,5,3,0,0,0,0,0
85,Joseph Losey,3,45,33,0,0,0,0,0
86,Pat O'Brien,0,52,43,0,0,0,0,0
87,Dean Stockwell,2,71,96,0,0,0,0,0
88,Robert Rians,0,0,0,0,0,0,0,0
89,Barbara Hale,0,49,26,0,0,0,0,0
90,Juliet Berto,0,23,51,0,0,0,0,0
91,Jean-Henri Roger,0,43,13,0,0,0,0,0
92,Jean-François Stévenin,2,53,185,0,0,0,0,0
93,Robert Liensol,0,38,9,0,0,0,0,0
94,John Glen,0,34,10,0,0,0,0,0
95,Roger Moore,0,72,65,0,0,0,0,0
96,Maud Adams,0,42,27,0,0,0,0,0
97,Kristina Wayborn,0,23,10,0,0,0,0,0
98,Kabir Bedi,0,40,28,0,0,0,0,0
99,Vijay Amritraj,0,4,2,0,0,0,0,0
