,nom,ID,STARmeter,recompenses,carriere_duree,films_series
0,AymericCormerais,nm2345205,1373989.0,0.0,13.0,12.0
1,AnnaCiepielewska,nm0162134,396262.0,0.0,45.0,2.0
2,MarieAult,nm0042083,184362.0,0.0,21.0,5.0
3,RodolfoArena,nm0034260,1211037.0,0.0,68.0,61.0
4,JeanBouise,nm0099366,123746.0,1.0,26.0,73.0
5,AnneBancroft,nm0000843,2580.0,6.0,53.0,58.0
6,LeonardoDiCaprio,nm0000138,38.0,8.0,40.0,72.0
7,EmmanuelleBeart,nm0000322,1545.0,1.0,52.0,67.0
8,AnnaKarina,nm0439344,12860.0,2.0,59.0,62.0
9,MarkJones,nm0428752,122633.0,0.0,43.0,9.0
10,IngaMickyte,nm2821050,1159126.0,0.0,0.0,0.0
11,BenoitPoelvoorde,nm0688143,22353.0,4.0,33.0,79.0
12,Jean-PierreLeaud,nm0529543,14687.0,4.0,61.0,104.0
13,Eun-shimLee,nm1149693,772166.0,0.0,0.0,0.0
14,YuEri,,,0.0,0.0,0.0
15,SallyHawkins,nm1020089,1488.0,1.0,21.0,53.0
16,VanessaParadis,nm0660854,8724.0,3.0,34.0,37.0
17,Jean-MarcBarr,nm0000852,21128.0,0.0,39.0,83.0
18,JamieBell,nm0068260,963.0,1.0,25.0,42.0
19,CatherineBreillat,nm0106924,18269.0,0.0,51.0,25.0
20,CharltonHeston,nm0000032,3278.0,1.0,68.0,85.0
21,HouHsiao-Hsien,,,5.0,40.0,32.0
22,SalvatoreGattuso,nm0309846,1088717.0,0.0,4.0,2.0
23,DanielAuteuil,nm0000809,13275.0,6.0,49.0,102.0
24,RobertDauney,nm0970821,740981.0,0.0,16.0,5.0
25,AshrafBarhom,nm1678557,30199.0,0.0,17.0,16.0
26,PeterMullan,nm0611932,3023.0,3.0,33.0,79.0
27,RobertRedford,nm0000602,977.0,4.0,64.0,85.0
28,BenStiller,nm0001774,862.0,0.0,37.0,113.0
29,AnthonyHopkins,nm0000164,507.0,7.0,61.0,119.0
30,RyanHurst,nm0403652,1094.0,0.0,30.0,41.0
31,JimCarrey,nm0000120,300.0,3.0,39.0,63.0
32,CatherineDeneuve,nm0000366,4947.0,8.0,67.0,150.0
33,JulietteBinoche,nm0000300,1790.0,9.0,40.0,89.0
34,RobertCavanah,nm0146917,18742.0,0.0,25.0,30.0
35,JeffreyDeMunn,nm0218810,5576.0,0.0,42.0,57.0
37,CateBlanchett,nm0000949,529.0,16.0,34.0,86.0
38,SamuelL.Jackson,nm0000168,348.0,4.0,59.0,167.0
39,RichardBerry,nm0006939,61460.0,1.0,49.0,110.0
40,NicolasCage,nm0000115,82.0,3.0,43.0,126.0
41,BradPitt,nm0000093,70.0,14.0,37.0,84.0
42,BrendanFraser,nm0000409,132.0,1.0,31.0,62.0
43,JuliaRoberts,nm0000210,209.0,7.0,37.0,82.0
44,WillSmith,nm0000226,422.0,14.0,33.0,60.0
45,SandrineBonnaire,nm0094789,16849.0,7.0,41.0,85.0
46,JohnnyDepp,nm0000136,149.0,9.0,39.0,97.0
47,AlbertDupontel,nm0243355,37354.0,6.0,35.0,48.0
48,BillIrwin,nm0410348,476434.0,0.0,43.0,53.0
49,PierceBrosnan,nm0000112,955.0,4.0,43.0,102.0
50,TomCruise,nm0000129,48.0,19.0,43.0,65.0
51,AdamSandler,nm0001191,220.0,6.0,37.0,69.0
52,LiamNeeson,nm0000553,250.0,1.0,45.0,128.0
53,MehmetEminToprak,nm0867780,93514.0,0.0,0.0,4.0
54,BruceWillis,nm0000246,274.0,1.0,41.0,136.0
55,Jean-PierreBacri,nm0045870,69452.0,10.0,40.0,62.0
56,HafsiaHerzi,nm2082567,24562.0,7.0,21.0,53.0
57,DominiqueCabrera,,,0.0,34.0,25.0
58,KristenStewart,nm0829576,157.0,9.0,25.0,63.0
59,BrunoSalomone,nm0758912,138236.0,0.0,22.0,56.0
60,JohnGetz,nm0315288,8262.0,0.0,46.0,77.0
61,AlexandraLamy,nm0484005,31116.0,3.0,27.0,60.0
62,VincentLindon,nm0512071,21332.0,6.0,41.0,83.0
63,AndieMacDowell,nm0000510,252.0,0.0,40.0,77.0
64,LiciaMaglietta,nm0536134,111614.0,0.0,17.0,9.0
65,MaggieCheung,nm0001041,7777.0,2.0,25.0,46.0
66,ArianeAscaride,nm0038449,102836.0,4.0,47.0,78.0
67,MyriamParvinAlmani,,,0.0,0.0,0.0
68,CharlotteRampling,nm0001648,1905.0,7.0,56.0,128.0
69,EricBana,nm0051509,1322.0,0.0,24.0,37.0
70,GregoryGadebois,nm1687610,36943.0,1.0,23.0,89.0
71,KevinSpacey,nm0000228,1230.0,7.0,37.0,80.0
72,NicoleKidman,nm0000173,89.0,13.0,41.0,118.0
73,JeffBridges,nm0000313,1248.0,6.0,70.0,89.0
74,ArnoldSchwarzenegger,nm0000216,193.0,3.0,53.0,84.0
75,JuliaStiles,nm0005466,1023.0,0.0,25.0,57.0
76,KarinViard,nm0895759,21471.0,12.0,38.0,104.0
77,ChrisKlein,nm0005098,3328.0,0.0,24.0,38.0
78,MegRyan,nm0000212,1192.0,0.0,42.0,49.0
79,GeorgeClooney,nm0000123,538.0,15.0,45.0,102.0
80,KennethBranagh,nm0000110,364.0,5.0,42.0,73.0
81,SandraBullock,nm0000113,228.0,6.0,46.0,72.0
82,JohnTravolta,nm0000237,708.0,4.0,48.0,82.0
83,StuartTownsend,nm0870204,4580.0,0.0,28.0,33.0
84,RobertEnglund,nm0000387,4989.0,0.0,49.0,94.0
85,SaidTaghmaoui,nm0846548,8739.0,0.0,30.0,68.0
86,SeanConnery,nm0000125,901.0,5.0,57.0,78.0
87,SylvesterStallone,nm0000230,212.0,5.0,54.0,110.0
88,DavidBoreanaz,nm0004770,1760.0,0.0,29.0,18.0
89,FredericSaurel,nm0767032,401262.0,0.0,38.0,74.0
90,MattDamon,nm0000354,242.0,4.0,36.0,105.0
91,JoanDelMar,nm0215628,1397199.0,0.0,0.0,0.0
92,NatashaHenstridge,nm0000449,1782.0,0.0,26.0,63.0
93,MartinSheen,nm0000640,2862.0,1.0,62.0,166.0
94,RyanPhillippe,nm0000202,1887.0,0.0,31.0,64.0
95,AudreyTautou,nm0851582,3662.0,4.0,23.0,47.0
96,KevinCostner,nm0000126,237.0,8.0,42.0,73.0
97,ElijahWood,nm0000704,567.0,0.0,34.0,71.0
98,MoritzBleibtreu,nm0001953,18215.0,1.0,26.0,81.0
99,FreddiePrinzeJr.,nm0005327,2190.0,0.0,27.0,39.0
100,BenAffleck,nm0000255,282.0,14.0,43.0,90.0
101,AngelinaJolie,nm0001401,381.0,7.0,41.0,69.0
102,GerardButler,nm0124930,329.0,0.0,27.0,73.0
103,AdrianPaul,nm0001600,5844.0,0.0,35.0,47.0
104,RobertDeNiro,nm0000134,168.0,6.0,61.0,148.0
105,LaurentBateau,nm0060780,218947.0,0.0,32.0,124.0
106,EricJudor,nm0431956,60595.0,1.0,25.0,40.0
107,PatrickFugit,nm0297578,2567.0,0.0,23.0,34.0
108,RoseanneBarr,,,0.0,55.0,21.0
