,nom_directors,ID_directors,STARmeter_directors,recompenses_directors,carriere_duree_directors,films_series_directors
0,IngmarBergman,nm0000005,3989.0,11.0,63.0,62.0
1,AlfredHitchcock,nm0000033,1441.0,1.0,58.0,78.0
2,StanleyKubrick,nm0000040,1053.0,2.0,48.0,21.0
3,GerardPires,nm0000091,130542.0,0.0,39.0,17.0
4,WoodyAllen,nm0000095,1082.0,23.0,64.0,94.0
5,LucBesson,nm0000108,2009.0,5.0,43.0,35.0
6,KennethBranagh,nm0000110,534.0,5.0,42.0,73.0
7,SteveBuscemi,nm0000114,1135.0,3.0,37.0,141.0
8,JamesCameron,nm0000116,1644.0,9.0,43.0,43.0
9,GeorgeClooney,nm0000123,497.0,15.0,45.0,102.0
10,WesCraven,nm0000127,6380.0,2.0,44.0,38.0
11,ClintEastwood,nm0000142,195.0,16.0,66.0,104.0
12,RalphFiennes,nm0000146,663.0,4.0,32.0,85.0
13,JodieFoster,nm0000149,25.0,10.0,55.0,74.0
14,MelGibson,nm0000154,403.0,5.0,47.0,92.0
15,TommyLeeJones,nm0000169,155.0,7.0,55.0,84.0
16,GeorgeLucas,nm0000184,4946.0,1.0,57.0,40.0
17,DavidLynch,nm0000186,910.0,6.0,65.0,53.0
18,MartinScorsese,nm0000217,224.0,19.0,65.0,136.0
19,StevenSpielberg,nm0000229,319.0,13.0,65.0,94.0
20,OliverStone,nm0000231,3072.0,14.0,52.0,50.0
21,DenzelWashington,nm0000243,185.0,8.0,49.0,69.0
22,JohnWoo,nm0000247,4393.0,0.0,55.0,50.0
23,PedroAlmodovar,nm0000264,2728.0,19.0,49.0,46.0
24,RobertAltman,nm0000265,5439.0,8.0,59.0,58.0
25,Jean-JacquesAnnaud,nm0000269,16607.0,5.0,59.0,21.0
26,FannyArdant,nm0000272,9589.0,4.0,48.0,111.0
27,PernillaAugust,nm0000278,2934.0,1.0,40.0,35.0
28,TimBurton,nm0000318,1159.0,5.0,53.0,50.0
29,FrancisFordCoppola,nm0000338,1041.0,11.0,62.0,60.0
30,DavidCronenberg,nm0000343,1943.0,5.0,57.0,58.0
31,BrianDePalma,nm0000361,2952.0,1.0,61.0,51.0
32,DannyDeVito,nm0000362,1108.0,0.0,52.0,102.0
33,AtomEgoyan,nm0000382,14646.0,3.0,40.0,44.0
34,RolandEmmerich,nm0000386,4655.0,0.0,42.0,38.0
35,EmilioEstevez,nm0000389,1548.0,0.0,39.0,44.0
36,DavidFincher,nm0000399,650.0,6.0,40.0,31.0
37,Jean-LucGodard,nm0000419,8112.0,11.0,71.0,171.0
38,ValeriaGolino,nm0000420,1913.0,3.0,40.0,100.0
39,PeterGreenaway,nm0000425,11004.0,1.0,43.0,48.0
40,TaylorHackford,nm0000431,10483.0,1.0,43.0,26.0
41,CurtisHanson,nm0000436,12384.0,3.0,47.0,17.0
42,EdHarris,nm0000438,1416.0,2.0,47.0,104.0
43,JimJarmusch,nm0000464,3992.0,6.0,44.0,51.0
44,Jean-PierreJeunet,nm0000466,6911.0,9.0,42.0,21.0
45,JohnLandis,nm0000484,5906.0,1.0,57.0,90.0
46,AngLee,nm0000487,5342.0,17.0,38.0,22.0
47,SpikeLee,nm0000490,2090.0,4.0,47.0,89.0
48,RichardLinklater,nm0000500,2305.0,6.0,39.0,48.0
49,TerrenceMalick,nm0000517,3818.0,6.0,54.0,17.0
50,DavidMamet,nm0000519,7648.0,0.0,39.0,21.0
51,MichaelMann,nm0000520,1286.0,2.0,49.0,30.0
52,SophieMarceau,nm0000521,2213.0,3.0,41.0,55.0
53,AlanParker,nm0000570,9828.0,7.0,45.0,21.0
54,SeanPenn,nm0000576,1442.0,11.0,43.0,85.0
55,JosephL.Mankiewicz,nm0000581,13045.0,8.0,64.0,23.0
56,WolfgangPetersen,nm0000583,8752.0,0.0,51.0,25.0
57,RomanPolanski,nm0000591,2410.0,28.0,69.0,67.0
58,RobertRedford,nm0000602,1140.0,4.0,64.0,85.0
59,FredSavage,nm0000625,3080.0,0.0,35.0,64.0
60,JohnSayles,nm0000626,11305.0,1.0,42.0,34.0
61,RidleyScott,nm0000631,460.0,0.0,58.0,55.0
62,PaulVerhoeven,nm0000682,2683.0,6.0,61.0,40.0
63,JohnWaters,nm0000691,5720.0,0.0,54.0,71.0
64,WimWenders,nm0000694,1014.0,12.0,55.0,83.0
65,RobinWright,nm0000705,513.0,1.0,39.0,63.0
66,RobertZemeckis,nm0000709,2670.0,2.0,50.0,39.0
67,JonAmiel,nm0000750,29921.0,1.0,44.0,39.0
68,PaulThomasAnderson,nm0000759,983.0,6.0,33.0,22.0
69,MichelangeloAntonioni,nm0000774,12725.0,6.0,66.0,37.0
70,MichaelApted,nm0000776,16855.0,1.0,56.0,56.0
71,GreggAraki,nm0000777,11223.0,1.0,32.0,20.0
72,DenysArcand,nm0000780,39806.0,6.0,56.0,27.0
73,AsiaArgento,nm0000782,3332.0,0.0,37.0,69.0
74,DarioArgento,nm0000783,5983.0,0.0,57.0,41.0
75,OlivierAssayas,nm0000801,14897.0,2.0,46.0,52.0
76,BilleAugust,nm0000806,21408.0,3.0,45.0,30.0
77,DanielAuteuil,nm0000809,17261.0,6.0,49.0,102.0
78,RogerAvary,nm0000812,14386.0,2.0,32.0,13.0
79,JonAvnet,nm0000816,22275.0,0.0,43.0,25.0
80,Jean-MarcBarr,nm0000852,20502.0,0.0,39.0,83.0
81,BrunoBarreto,nm0000853,54949.0,0.0,41.0,30.0
82,NoahBaumbach,nm0000876,3368.0,0.0,28.0,15.0
83,MichaelBay,nm0000881,2242.0,3.0,36.0,33.0
84,HaroldBecker,nm0000887,27568.0,1.0,45.0,14.0
85,Jean-JacquesBeineix,nm0000894,43278.0,1.0,37.0,10.0
86,RobertoBenigni,nm0000905,8393.0,6.0,43.0,31.0
87,BruceBeresford,nm0000915,22580.0,0.0,49.0,46.0
88,BernardoBertolucci,nm0000934,8741.0,9.0,57.0,38.0
89,KathrynBigelow,nm0000941,3721.0,9.0,43.0,24.0
90,JaneBirkin,nm0000945,7154.0,1.0,57.0,99.0
91,ShaneBlack,nm0000948,3285.0,1.0,33.0,19.0
92,PeterBogdanovich,nm0000953,5557.0,1.0,56.0,94.0
