nom,star_id,STARmeter
Aymeric Cormerais,nm2345205,
Salvatore Gattuso,nm0309846,
Robert Dauney,nm0970821,
Bill Irwin,nm0410348,
Mehmet Emin Toprak,nm0867780,
Joan Del Mar,nm0215628,
Laurent Bateau,nm0060780,
Patrick Albenque,nm0016375,
Pierre Zaoui,nm1344222,
Destin Lenord,nm3346912,
Anais Reboux,nm0714378,
Billy Seymour,nm0786803,
Axel,nm10236692,
Rosa Isabel Morffino,nm0604416,
Elsa Kikoine,nm0452831,
Alice Bogart,nm7630295,
Audrey Langle,nm0486492,
Geoffroy Thiebaut,nm0857855,
Jean-Louis Barcelona,nm2061168,
Michel Rolland,nm1711764,
Stasys Eidrigevicius,nm3359881,
Ngotiek Ole Mako,nm1742325,
Paulina Druka,nm9501339,
Michael Bird,nm0083411,
Zinedine Zidane,nm1127992,
David Livingston,nm10582347,
Cyril Brunet,nm1422395,
Alban Casterman,nm2142924,
Denis Cherer,nm11613848,
Romeo Botzaris,nm1945348,
Cecile Bois,nm0092291,
Frederic Beltran,nm1842777,
Wolfgang Pregler,nm0695807,
Juan Villegas,nm0898223,
Jeremy Howard,nm0397386,
Lee Byung-Hun,nm15660682,
Habib Boufares,nm2081454,
Margaux Chatelier,nm2010399,
Hrysto,nm2286484,
Debbie Doebereiner,nm2017006,
Adama Bila,nm2304645,
Mina Mohammad Khani,nm0451371,
Everett Silas,nm0797816,
Quinn Dempsey Stiller,nm3175092,
Nina Kervel-Bey,nm2223623,
Judith Davis,nm0204914,
Oumar Diaw,nm2757388,
Didda Jonsdottir,nm1305361,
Nicolas Brioudes,nm3664070,
Lola Marceli,nm0545175,
Alessandro Morace,nm2291703,
George Bush,nm11883295,
Julien Baumgartner,nm0062359,
Bruno Daveze,nm5401821,
Jean Senejoux,nm1655327,
Anthony Wong Chau-Sang,nm15608917,
Andre Benjamin,nm3041807,
Han Sanming,nm11397928,
Charles Osgood,nm0651872,
Ali Hamada,nm7690204,
Ignacio Benitez,nm2388444,
Jamyang Lodro,nm0517155,
Joaquin Ventura,nm7042319,
Anita Kravos,nm2378577,
Paul Barbier,nm2603726,
Tomer Steinhof,nm2147913,
Choko Iida,nm0407329,
Maria Onetto,nm1404505,
Batia Bar,nm3563631,
Do-Yeon Jeon,nm7695828,
Ekateryna Rak,nm2759893,
Tedo Bekhauri,nm3301394,
Thiago da Silva Mariz,nm2362404,
Ben Hoscheit,nm1992817,
Lola Dewaere,nm1463127,
Saida Djoudi,nm1912704,
John Axel Eriksson,nm2379528,
Pascal Bongard,nm0094445,
Leora Barbara,nm3072467,
Simon Delagnes,nm4794498,
Jean-Marie Galey,nm0302020,
Eduardo Granados,nm3640837,
Patricia Chraskova,nm3218213,
Carole Brana,nm3018114,
Catherine Tanvier,nm3540035,
Ziya Mirza Mohamad,nm3119499,
Nadir Eldad,nm2804996,
Ian Curtis,nm10018645,
Bora Altas,nm3756517,
Hilaire Arasa,nm1243998,
Rachel McIntyre,nm2858240,
Villmar Bjorkman,nm3010965,
Yavuz Bingol,nm15663092,
Arturo Goetz,nm2789721,
Joaquin Aguila,nm3123109,
Behrooz Jalili,nm11446528,
Bob Marley,nm8752314,
Morgan Marinne,nm0547732,
Lou-Lelia Demerliac,nm4971490,
Laetitia Reva,nm0720743,
Aman Bain,nm6682917,
Liam James,nm13979349,
Aaron Arefe,nm2551393,
Nolberto Coria,nm2919937,
Albina Imasheva,nm0408093,
Mohammed Bakri,nm9038704,
Anatole Vialard,nm3313124,
Leonor Baldaque,nm0049658,
Reuven Badalov,nm3068515,
Lino Milesi,nm3308253,
Barack Obama,nm14334490,
Tahar Aibi,nm3648519,
Mirta Bogdasarian,nm2569290,
Mohamed Ali,nm11847450,
Miranda Colclasure,nm3905923,
Alnur Turgambayeva,nm1086769,
Youssouf Djaoro,nm0229105,
Brian Meagan,nm15667298,
Luca Capriotti,nm1845027,
Pam Andrews,nm0028805,
Manuel Alcala,nm9043697,
Jose Bove,nm1154750,
Lamia Boussekine,nm3816429,
Noe Sampy,nm3398352,
Bengt Nilsson,nm4516422,
Horacio Camandule,nm3015033,
Catalina Saavedra,nm0754416,
Razi Shawahdeh,nm4086647,
Max Brebant,nm6996153,
Sabrina Muller,nm11973821,
Vladimir Yavorsky,nm3756192,
Roisin Grieco,nm3560456,
Katie Jarvis,nm3086235,
Celine Bolomey,nm1313751,
Liu Ye,nm5978166,
Rowan McNamara,nm3231359,
Clemira Aguayo,nm3437715,
Lisbeth Gruwez,nm3395559,
Fouad Habash,nm3360446,
Patrizia Gerardi,nm2208490,
Guadalupe Alonso,nm4070553,
Nehuen Zapata,nm3361920,
Maricielo Effio,nm0250574,
Joao Gabriel Vasconcellos,nm3465716,
Simon Elbaz,nm2965377,
Ron Burrage,nm0123042,
Cassandra Foret,nm3437671,
Fikret Portakal,nm3376940,
Yu Nan,nm11159967,
Patricio Guzman,nm10685129,
Blanca Engstrom,nm3239179,
Nasri Sayegh,nm3216939,
Melaine Lebreton,nm3290683,
Richard Winsor,nm1621861,
Thibault Vincon,nm1717383,
David Haddad,nm2200787,
Jorge Machado,nm12806972,
Juliette Damiens,nm4302620,
Kafka,nm6934315,
Amine Boumediene,nm2020372,
Yo Hsuan Chao,nm3735588,
Corinne Yam,nm3456321,
Ethel Kovinska,nm7749882,
Michael Brodie,nm11972334,
Maggie Frank,nm1264661,
Monserrat Fernandez,nm8091787,
Jian Cui,nm10175026,
Aleksandra Okotetto,nm3627041,
Amina Ahmed,nm13860154,
Giuseppe Fuda,nm3890057,
Erika Bok,nm0126969,
Lea Tissier,nm3914766,
Khomotso Manyaka,nm7878629,
Bruno Odar,nm0643904,
Daniel Dublet,nm0239345,
Barbara Anderson,nm0026392,
Richard Lord,nm10541709,
Nanda Costa,nm2273474,
Madison Young,nm10413284,
Justin Bieber,nm12399289,
Anna Halprin,nm11483199,
Yossi Pollak,nm0689436,
Nicolas Robin,nm1235458,
Guy McKnight,nm2803769,
Valerie Nataf,nm2909124,
Carolina Bona,nm0093649,
Quentin Grosset,nm1731425,
Alina Levshin,nm2957324,
Pauline Lefevre,nm3121639,
Annabelle Hettmann,nm2265277,
Lauren Bittner,nm1584283,
Guillaume Denaiffe,nm2075208,
Marjut Maristo,nm1671513,
Paula Galinelli Hertzog,nm4280726,
Alberto Laiseca,nm9915564,
Mathilda Paradeiser,nm4288659,
William Ruffin,nm4112068,
Farid Elouardi,nm1322735,
Fehd Benchemsi,nm4593082,
Koki Maeda,nm3078715,
Dov Navon,nm0623128,
Stephane Nahal,nm5602502,
Belgica Castro,nm0145505,
Junsang Yu,nm14080543,
Selma Kouchy,nm0467927,
Roee Elsberg,nm3962166,
Natasa Petrovic,nm14810627,
Sarah Ellison,nm14558092,
Rickson Tevez,nm5787342,
Alexandre Marouani,nm1352670,
German De Silva,nm1253955,
Wu Yuchi,nm4446056,
Anjela Nedyalkova,nm3919984,
Porfirio Ramirez Aldana,nm10906443,
Franck Falise,nm4442364,
Soufia Issami,nm4445696,
Denis Burton,nm4512197,
Danhui Mao,nm4502180,
Tarek Aggoun,nm4512074,
Lisa Bowman,nm11017972,
Kenji Yamauchi,nm1991216,
Arlette Chabot,nm1349963,
Adriana Trandafir,nm0870945,
Naamah Alva,nm3710415,
Yanis Bahloul,nm5248577,
Takaaki Nomi,nm4132038,
Perrine Tourneux,nm4891270,
Tsuyoshi Takano,nm4553908,
Giacomo Zulian,nm4705883,
Kelyna Lecomte,nm4579666,
Yolanda Galocha,nm5025442,
Bobo,nm13613816,
Sonia Guedes,nm0345741,
Armando Condolucci,nm4442049,
Gaye Gursel,nm2337097,
Celine Rajot,nm5097354,
Sharareh Pasha,nm4356839,
Ryszard Ronczewski,nm0739973,
Giovanna Daddi,nm2365927,
Boris Beynet,nm4782407,
Racim Zennadi,nm4611083,
Raven Adamson,nm4622234,
Begum Akkaya,nm3117945,
Joel Lefrancois,nm0494287,
Aniello Arena,nm4444700,
Olgun Simsek,nm15589381,
Cosimo Rega,nm4877987,
Dariel Arrechaga,nm4884029,
David Nathan,nm10538350,
Katalin Toldi,nm4852594,
Joy Hille,nm4677090,
Isidora Simijonovic,nm4425740,
Emile Berling,nm2486268,
Ania Svetovaya,nm4044843,
Zinedine Benchenine,nm5576173,
Arata,nm15613854,
Laura Benson,nm0072556,
Pauline Parigot,nm4283672,
Rob Stanley,nm12902042,
Azize Diabate Abdoulaye,nm5368103,
Luis Carlos Guevara,nm5011867,
Therese Clerc,nm1742752,
Abdelhakim Rachid,nm5551244,
Souleymane Seye Ndiaye,nm5343397,
Anita Lecollinet,nm4317644,
Nicolas Orzella,nm4770217,
Asia Naifeld,nm4536815,
Jean-Patrick Kone,nm5627847,
Teresa Ramirez Aguirre,nm4637023,
Joghis Seudin Arias,nm5090101,
Waad Mohammed,nm5179652,
Francois Hollande,nm1186879,
Maria Hofstatter,nm0389463,
Sebastian Arce,nm1235082,
Emir Seghir,nm3315901,
Cindy Scrash,nm3451483,
Teresa Sanchez,nm0845185,
Nermina Lukac,nm4723934,
Julia Volpato,nm4976192,
Andrea Brusque,nm2807708,
Emmanuel Fakoko,nm5329884,
Ia Sukhitashvili,nm2099014,
Dmitriy Kobetskoy,nm5176237,
Paola Lattus,nm2802458,
Melanie Lenz,nm15167455,
Souleymane Deme,nm5632018,
Nader Sarhan,nm5363996,
Margarita Saldana,nm6493609,
Marina Kitaeva,nm5191340,
Aurore Ugolin,nm2868978,
Lou Aziosmanoff,nm5495693,
Carole Hajj,nm4598219,
Alexis Zuniga,nm4098461,
Luminita Gheorghiu,nm0315640,
Binda Ngazolo,nm5737267,
Wajma Bahar,nm5392442,
Defne Halman,nm1092628,
Timur Aidarbekov,nm5167200,
Nicholas Winton,nm1051211,
Cathy Nouchi,nm5396986,
Franck Trillot,nm3637666,
Aurelio Cohen,nm1707812,
Elin Odegaard,nm5695509,
Alexandre Guanse,nm2579025,
Takeru Sato,nm10376938,
Sara Carlson,nm0138013,
Nathan Bernat,nm5712527,
Francois-Joseph Culioli,nm5631763,
Pedro Ferreira,nm0274418,
Gregory Cohen,nm12048490,
Conner Chapman,nm5519350,
Ruben Verdyan,nm5753294,
Ocean,nm10663940,
Fatu Djebate,nm5503428,
Jean-Marc Ravera,nm1361556,
Joy Rieger,nm2380472,
Amir Ben Abdelmoumen,nm2977493,
Mohamed Dekhi,nm6588204,
David Cunio,nm5503232,
Emilie de Preissac,nm1711344,
Sidney Goyvaertz,nm5807918,
Frederique Barre,nm5567108,
Martin Esposito,nm8451738,
Ximena Ayala,nm9379283,
Diana Avramut,nm5855960,
David Merabet,nm5856482,
Liang-yu Yang,nm6767851,
Yu-mi Jeong,nm6710649,
Josephine Jobert,nm2907225,
Lola Lasseron,nm5409944,
Samuel Lange Zambrano,nm5853160,
Dileepan,nm5575042,
Jan Dieter Schneider,nm5864709,
Guslagie Malanda,nm5961236,
Stephanie Cumming,nm3447387,
Gunnar Jonsson,nm0433603,
Digna Quispe,nm5990634,
Didier Michon,nm6154227,
JR,nm15223780,
James Saintil,nm5874824,
Halima Benhamed,nm12762898,
Christine Armanger,nm6537165,
Reece Ritchie,nm2201022,
Marie Denarnaud,nm0218884,
Mark Greenfield,nm0339008,
Miray Akay,nm5411225,
Jean-Jacques Rausin,nm2317224,
Giulia Salerno,nm3065133,
Sarit Larry,nm0488686,
Harmandeep Palminder,nm6148078,
Michel Diercks,nm5109749,
Said Mrini,nm5953719,
Vanesa Prieto,nm4694013,
Nais El Fassi,nm6296589,
Ramasan Minkailov,nm6222090,
Nick Cave,nm6158375,
Alexi Mathieu,nm6615039,
Jan Debski,nm1295960,
Stefen Eynius,nm3446962,
Olivier Aubin,nm1152485,
Wendy Moniz,nm0598166,
Athalia Routier,nm5998777,
Masahiro Yoshino,nm10775528,
Maria Celia Camargo,nm0131264,
