ID,star,STARmeter
nm2345205,Aymeric Cormerais,1373989
nm0309846,Salvatore Gattuso,1088717
nm0970821,Robert Dauney,740981
nm0410348,Bill Irwin,476434
nm0867780,Mehmet Emin Toprak,93514
nm0215628,Joan Del Mar,1397199
nm0060780,Laurent Bateau,218947
nm0016375,Patrick Albenque,220131
nm1344222,Pierre Zaoui,9369143
nm3346912,Destin Lenord,880679
nm0714378,Anais Reboux,41140
nm0786803,Billy Seymour,143230
nm10236692,Axel,7020050
nm0604416,Rosa Isabel Morffino,842707
nm0452831,Elsa Kikoine,114550
nm7630295,Alice Bogart,4992307
nm0486492,Audrey Langle,1255035
nm0857855,Geoffroy Thiebaut,154166
nm2061168,Jean-Louis Barcelona,614760
nm1711764,Michel Rolland,10101611
nm3359881,Stasys Eidrigevicius,9867715
nm1742325,Ngotiek Ole Mako,7343152
nm9501339,Paulina Druka,1218137
nm0083411,Michael Bird,1216051
nm1127992,Zinedine Zidane,66166
nm10582347,David Livingston,6687381
nm1422395,Cyril Brunet,7825846
nm2142924,Alban Casterman,188465
nm11613848,Denis Cherer,6665380
nm1945348,Romeo Botzaris,2118624
nm0092291,Cecile Bois,32275
nm1842777,Frederic Beltran,2043744
nm0695807,Wolfgang Pregler,869371
nm0898223,Juan Villegas,12646122
nm0397386,Jeremy Howard,11364
nm15660682,Lee Byung-Hun,1985078
nm2081454,Habib Boufares,1452440
nm2010399,Margaux Chatelier,38058
nm2286484,Hrysto,5892680
nm2017006,Debbie Doebereiner,300521
nm2304645,Adama Bila,1384984
nm0451371,Mina Mohammad Khani,945997
nm0797816,Everett Silas,725500
nm3175092,Quinn Dempsey Stiller,75307
nm2223623,Nina Kervel-Bey,1422238
nm0204914,Judith Davis,568576
nm2757388,Oumar Diaw,542443
nm1305361,Didda Jonsdottir,890555
nm3664070,Nicolas Brioudes,6871048
nm0545175,Lola Marceli,168797
nm2291703,Alessandro Morace,604954
nm11883295,George Bush,5811238
nm0062359,Julien Baumgartner,92801
nm5401821,Bruno Daveze,617987
nm1655327,Jean Senejoux,1229251
nm15608917,Anthony Wong Chau-Sang,2521807
nm3041807,Andre Benjamin,286400
nm11397928,Han Sanming,8550845
nm0651872,Charles Osgood,26983
nm7690204,Ali Hamada,3128317
nm2388444,Ignacio Benitez,2210931
nm0517155,Jamyang Lodro,9897065
nm7042319,Joaquin Ventura,8763817
