ID,Director,STARmeter
nm1170339,Julius Avery,26447
nm4023702,Steven Caple Jr.,15735
nm0715636,Peyton Reed,21323
nm0430107,Michael B. Jordan,1227
nm0504642,Louis Leterrier,11953
nm0615592,Andy Muschietti,10280
nm0724938,Jean-François Richet,26394
nm1690966,Joaquim Dos Santos,24659
nm0551128,Rob Marshall,12601
nm2497546,David F. Sandberg,16529
nm1313617,Tomasz Baginski,76882
nm0634240,Christopher Nolan,100
nm1714788,Jared Cohn,31591
nm1092087,Sam Hargrave,9319
nm0601337,Jason Moore,45310
nm0348181,James Gunn,1868
nm0030735,Nimród Antal,19279
nm2506835,Matt Nable,6803
nm0408045,Kôichi Imaizumi,111822
nm1108007,David Lowery,6370
nm3150455,Joel Crawford,51185
nm1319852,Alfonso Pineda Ulloa,127804
nm1950086,Greta Gerwig,379
nm0673779,Sebastian Perillo,346712
nm6676487,Jeff Rowe,27415
nm3924049,Angel Manuel Soto,31190
nm0821432,Chad Stahelski,4379
nm5961051,Atlee,27227
nm1739338,Aaron Horvath,46886
nm2091846,Lee Cronin,22468
nm0000399,David Fincher,620
nm5474363,Joseph Mbah,482215
nm0873488,Harold Trompetero,517675
nm0484907,Christopher Landon,15523
nm4180240,Alberto Vázquez,108061
nm1012385,Roar Uthaug,42066
nm0821844,Daniel Stamm,74667
nm2016267,Toby Meakins,180699
nm0049371,Jaume Balagueró,35622
nm5827815,Richard Hughes,76095
nm1457169,Stig Svendsen,226484
nm0178376,Scott Cooper,9784
nm14135819,Andrey Goglev,8973081
nm3533685,Isaac Ezban,54181
nm1399714,Scott Beck,24170
nm11638743,Natalya Nilova,421226
nm3268280,Allan Ungar,60407
nm0000110,Kenneth Branagh,364
nm2482088,Tommy Wirkola,19709
nm0378681,Hans Herbots,77084
nm1490123,James Wan,2091
nm0169806,Taika Waititi,675
nm2002649,Dave Franco,2591
nm2939767,Nick Bruno,25727
nm5056682,Daniel Graham,166730
nm1362893,Petr Jákl,35701
nm0326995,Cosimo Gomez,260036
nm0011470,Andrew Adamson,21667
nm3453283,Dan Kwan,7720
nm1899608,Demián Rugna,10370
nm0868219,Guillermo del Toro,1327
nm1024094,Michael B. Chait,225300
nm2093171,Damien Leone,18438
nm4193530,Ingvild Søderlind,428272
nm0057666,Hector Barron,629410
nm3363032,Ryan Coogler,9637
nm2320658,Don Hall,41666
nm0611683,Russell Mulcahy,18983
nm0466349,Baltasar Kormákur,17277
nm4946908,Nicholas D. Johnson,81929
nm1406291,Luke Cormican,217777
nm10429652,Tetsuro Kodama,461919
nm0500610,David Leitch,3315
nm1671066,Roxanne Benjamin,46287
nm0000116,James Cameron,1689
nm1733778,Jeff Fowler,18331
nm2676052,Joseph Kosinski,4906
nm5970389,Tae-joon Kim,639041
nm0788202,Adam Shankman,22812
nm0256542,Randall Emmett,9576
nm5379533,Spencer Squire,125546
nm1396121,Makoto Shinkai,7335
nm1158544,Jared Bush,53291
nm0946734,David Yates,7956
nm0551076,Neil Marshall,10649
nm0000154,Mel Gibson,289
nm0112459,Aline Brosh McKenna,29211
nm0049633,Kyle Balda,52547
nm0870469,Dan Trachtenberg,11819
nm1427978,Patrick White,226168
nm0994416,Sebastián Schindel,179556
nm0597687,Annemarie van de Mond,359911
nm1429471,Jaume Collet-Serra,12378
nm4804442,Nia DaCosta,9718
nm0001218,Sean Patrick Flanery,894
nm1957822,David Asavanond,262864
nm3541432,Juel Taylor,17813
nm4201435,Alberto Evangelio,323166
nm7626019,Domee Shi,42419
nm0298807,Antoine Fuqua,2600
nm2067421,Gerard Johnstone,32375
nm0000600,Sam Raimi,3549
nm1785988,Scooter Corkle,222505
nm2117510,Cal Brunker,79488
nm0003506,James Mangold,3956
nm0785227,Andy Serkis,1478
nm0139081,Benjamin Caron,39163
nm6470216,Mimi Cave,29933
nm1275670,Jeremy Garelick,38966
nm2705923,Lorcan Finnegan,32103
nm6475689,Parker Finn,20604
nm0253819,Ellory Elkayem,136432
nm0001060,Chris Columbus,5828
nm3618334,Silvio Nacucchi,224161
nm3887934,Masato Jinbo,740030
nm1993322,Timo Vuorensola,45185
nm1921345,Steven C. Miller,34446
