director,director_id
,
Julius Avery,nm1170339
Steven Caple Jr.,nm4023702
Peyton Reed,nm0715636
Michael B. Jordan,nm0430107
Louis Leterrier,nm0504642
Andy Muschietti,nm0615592
Jean-François Richet,nm0724938
Joaquim Dos Santos,nm1690966
Rob Marshall,nm0551128
David F. Sandberg,nm2497546
Tomasz Baginski,nm1313617
Christopher Nolan,nm0634240
Jared Cohn,nm1714788
Sam Hargrave,nm1092087
Jason Moore,nm0601337
James Gunn,nm0348181
Nimród Antal,nm0030735
Matt Nable,nm2506835
Kôichi Imaizumi,nm0408045
David Lowery,nm1108007
Joel Crawford,nm3150455
Alfonso Pineda Ulloa,nm1319852
Greta Gerwig,nm1950086
Sebastian Perillo,nm0673779
Jeff Rowe,nm6676487
Angel Manuel Soto,nm3924049
Chad Stahelski,nm0821432
Atlee,nm5961051
Aaron Horvath,nm1739338
Lee Cronin,nm2091846
David Fincher,nm0000399
Joseph Mbah,nm5474363
Harold Trompetero,nm0873488
Christopher Landon,nm0484907
Alberto Vázquez,nm4180240
Roar Uthaug,nm1012385
Daniel Stamm,nm0821844
Toby Meakins,nm2016267
Jaume Balagueró,nm0049371
Richard Hughes,nm5827815
Stig Svendsen,nm1457169
Scott Cooper,nm0178376
Andrey Goglev,nm14135819
Isaac Ezban,nm3533685
Scott Beck,nm1399714
Natalya Nilova,nm11638743
Allan Ungar,nm3268280
Kenneth Branagh,nm0000110
Tommy Wirkola,nm2482088
Hans Herbots,nm0378681
James Wan,nm1490123
Taika Waititi,nm0169806
Dave Franco,nm2002649
Nick Bruno,nm2939767
Daniel Graham,nm5056682
Petr Jákl,nm1362893
Cosimo Gomez,nm0326995
Andrew Adamson,nm0011470
Dan Kwan,nm3453283
Demián Rugna,nm1899608
Guillermo del Toro,nm0868219
Michael B. Chait,nm1024094
Damien Leone,nm2093171
Ingvild Søderlind,nm4193530
Hector Barron,nm0057666
Ryan Coogler,nm3363032
Don Hall,nm2320658
Russell Mulcahy,nm0611683
Baltasar Kormákur,nm0466349
Nicholas D. Johnson,nm4946908
Luke Cormican,nm1406291
Tetsuro Kodama,nm10429652
David Leitch,nm0500610
Roxanne Benjamin,nm1671066
James Cameron,nm0000116
Jeff Fowler,nm1733778
Joseph Kosinski,nm2676052
Tae-joon Kim,nm5970389
Adam Shankman,nm0788202
Randall Emmett,nm0256542
Spencer Squire,nm5379533
Makoto Shinkai,nm1396121
Jared Bush,nm1158544
David Yates,nm0946734
Neil Marshall,nm0551076
Mel Gibson,nm0000154
Aline Brosh McKenna,nm0112459
Kyle Balda,nm0049633
Dan Trachtenberg,nm0870469
Patrick White,nm1427978
Sebastián Schindel,nm0994416
Annemarie van de Mond,nm0597687
Jaume Collet-Serra,nm1429471
Nia DaCosta,nm4804442
Sean Patrick Flanery,nm0001218
David Asavanond,nm1957822
Juel Taylor,nm3541432
Alberto Evangelio,nm4201435
Domee Shi,nm7626019
Antoine Fuqua,nm0298807
Gerard Johnstone,nm2067421
Sam Raimi,nm0000600
Scooter Corkle,nm1785988
Cal Brunker,nm2117510
James Mangold,nm0003506
Andy Serkis,nm0785227
Benjamin Caron,nm0139081
Mimi Cave,nm6470216
Jeremy Garelick,nm1275670
Lorcan Finnegan,nm2705923
Parker Finn,nm6475689
Ellory Elkayem,nm0253819
Chris Columbus,nm0001060
Silvio Nacucchi,nm3618334
Masato Jinbo,nm3887934
Timo Vuorensola,nm1993322
Steven C. Miller,nm1921345
Mukunda Michael Dewil,nm4320125
Mike Newell,nm0001565
Peggy Holmes,nm0391996
Jared Stern,nm2972864
Amy Rice,nm1110665
Jon Watts,nm1218281
Hank Braxtan,nm1802040
Matt Danner,nm0200402
James Nunn,nm2071556
Anders Rønnow Klarlund,nm0754050
Mary Nighy,nm1310861
Henry Joost,nm1160962
Romain Gavras,nm0310615
Anthony Russo,nm0751577
Michael Bay,nm0000881
David Bruckner,nm1410159
Mira Nair,nm0619762
Garth Jennings,nm1134029
Tetsuya Takehora,nm3127702
