Column1;ID;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;distrib_1;distrib_2;distrib_3;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;budget
0;1317;Vivre !;Aymeric Cormerais; Jean-Jacques Le Vessier; Gaël Tanniou; Lydie Waï;Yvon Marciano;;;Yvon Marciano;;;Colifilms Diffusion;;;Comédie dramatique;;;;;;;France;7.0;10.0;2009.0;2.0;1.9;103.0;3012.0;
1;2314;Pasazerka;Anna Ciepielewska; Aleksandra Slaska; Jan Kreczmar; Marek Walczewski;Andrzej Munk; Witold Lesiewicz;;Zofia Posmysz; Andrzej Munk; Zofia Posmysz;Malavida Films;;;Drame;;;;;;;Pologne;28.0;10.0;1964.0;2.0;4.6;62.0;1420.0;
2;3239;The Lodger: A Story of the London Fog;Marie Ault; Arthur Chesney; Reginald Gardiner; Alfred Hitchcock;Alfred Hitchcock;;;Eliot Stannard; Alfred Hitchcock; Marie Belloc Lowndes;Carlotta Films;;;Policier; Drame;;;;;;Grande-Bretagne;17.0;11.0;2010.0;2.0;5.0;79.0;615.0;£12,000 (estimated)
3;4389;Sao Bernardo;Rodolfo Arena; Othon Bastos; Luiz Carlos Braga; Josef Guerreiro;Leon Hirszman;;;Leon Hirszman; Graciliano Ramos;;Les Films du Paradoxe;;;Drame;;;;;;;Brésil;11.0;6.0;2014.0;2.0;4.3;113.0;156.0;
4;5134;El Otro Cristobal;Jean Bouise; Alden Knight; Bertina Acevedo; Pierre Chaussat;Armand Gatti;;;Armand Gatti; Adam Ulrych;;Ed Distribution;;;Fantastique;;;;;;;Cuba;18.0;9.0;2019.0;2.0;4.0;115.0;436.0;
5;5598;Torch Song Trilogy;Anne Bancroft; Matthew Broderick; Harvey Fierstein; Brian Kerwin;Paul Bogart;;;Harvey Fierstein; Harvey Fierstein;;Carlotta Films;;;Comédie dramatique;;;;;;;U.S.A.;2.0;5.0;1990.0;2.0;4.0;120.0;661.0;$4,865,997
6;5818;Titanic;Leonardo DiCaprio; Kate Winslet; Billy Zane; Kathy Bates;James Cameron;;;James Cameron;;;The Walt Disney Company France;;;Drame; Romance;;;;;;U.S.A.;7.0;1.0;1998.0;2.0;4.9;194.0;498212.0;$200,000,000 (estimated)
7;5847;Octobre à Paris;;;;;Jacques Panijel;;;;;;Les Films de l'Atalante;;;Documentaire;;;;;;;France;19.0;10.0;2011.0;2.0;3.8;70.0;1651.0;
8;6318;L'Enfer;Emmanuelle Béart; Karin Viard; Marie Gillain; Carole Bouquet;Danis Tanovic;;;Kryzsztof Piesiewicz; Krzysztof Kieslowski; Kryzsztof Piesiewicz;Diaphana Films;;;Drame;;;;;;;France;30.0;11.0;2005.0;2.0;2.2;95.0;43689.0;$595,618
9;6328;Anna;Anna Karina; Jean-Claude Brialy; Serge Gainsbourg; Marianne Faithfull;Pierre Koralnik;;;Pierre Koralnik; Jean-Loup Dabadie;;Malavida Films;;;Comédie musicale; Romance;;;;;;France;13.0;1.0;1967.0;4.0;4.0;87.0;1417.0;
