real;freq
Metropolitan FilmExport;0,043680044
Warner Bros. France;0,033399943
Universal Pictures International France;0,029730262
Pathé;0,03023539
Twentieth Century Fox France;0,028457836
SND;0,025845359
StudioCanal;0,025867787
Pyramide Distribution;0,026100772
Le Pacte;0,026683757
Mars Films;0,026577278
Sony Pictures Releasing France;0,025827082
Wild Bunch Distribution;0,025375584
ARP Sélection;0,025518135
Bac Films;0,025787585
Paramount Pictures France;0,024287079
The Walt Disney Company France;0,024891624
Ad Vitam;0,024666571
Gaumont Distribution;0,023378915
Rezo Films;0,023336344
UGC Distribution;0,022660706
Haut et Court;0,022870662
Cinéma Saint-André des Arts;0,023244552
Dulac Distribution;0,022806148
Eurozoom;0,023338407
EuropaCorp Distribution;0,023722944
Diaphana Distribution;0,024122029
KMBO;0,024718284
Les Films du Losange;0,025158405
Jour2fête;0,024660677
Shellac;0,024696198
United International Pictures (UIP);0,023311897
Epicentre Films;0,022839506
TFM Distribution;0,0229522
Memento Distribution;0,021336207
Mars Distribution;0,02158115
Bodega Films;0,020931803
UFO Distribution;0,017241379
Gebeka Films;0,017309942
Nour Films;0,016424661
UFD;0,015488867
Condor Distribution;0,015486726
MK2 Diffusion;0,015480649
Océan Films;0,014963226
The Jokers ;0,015190525
Urban Distribution;0,015163399
Arizona Distribution;0,014865941
Gaumont Columbia Tristar Films;0,014551334
Zelig Films Distribution;0,014219305
JHR Films;0,014147018
Columbia TriStar Films;0,014068655
Diaphana Films;0,014269406
Happiness Distribution;0,01447597
Les Acacias;0,01439483
Zootrope Films;0,014605067
ASC Distribution;0,014519056
Les Bookmakers ;0,014426028
Les Films du Préau;0,014637185
Destiny Films;0,014538559
Pretty Pictures;0,014753047
 Capricci Films;0,014648438
Bellissima Films;0,014866204
 Les Bookmakers;0,014755198
Cinéma Public Films;0,014635807
Tamasa Distribution;0,014853195
Apollo Films;0,014726508
Night ed films;0,014946619
Alfama Films;0,014812139
Damned Distribution;0,015034837
Outplay Films;0,015264334
Buena Vista International;0,015122873
