Column1;ID;Budget_dollards
936;53240;820000000
400;29366;694000000
819;49758;531000000
1176;57603;392000000
3610;178014;350000000
205;28524;335000000
1135;57139;300000000
2085;126527;300000000
1786;111744;300000000
3781;180899;294700000
730;47356;270000000
2622;135523;260000000
1082;56136;258000000
1869;116305;250000000
2739;137263;250000000
2905;139812;250000000
5689;221541;250000000
9504;275207;250000000
2460;132874;250000000
4720;198488;250000000
5222;210516;250000000
5375;215143;250000000
5371;215097;245000000
5061;206892;245000000
1454;61282;237000000
2169;128188;230000000
4165;189525;230000000
1134;57138;225000000
1640;109679;225000000
1970;123348;225000000
4063;186918;225000000
2901;139622;225000000
2325;130440;220000000
9320;272433;220000000
4721;198592;217000000
2605;135256;215000000
3775;180655;215000000
914;52719;210000000
4520;195228;210000000
3268;146628;209000000
703;46718;207000000
6;5818;200000000
91;26840;200000000
682;46112;200000000
1137;57197;200000000
1150;57405;200000000
1295;59075;200000000
1630;109572;200000000
1847;114851;200000000
2057;126123;200000000
2092;126678;200000000
2426;132150;200000000
2443;132420;200000000
2557;134539;200000000
2624;135530;200000000
2688;136190;200000000
3204;145646;200000000
8251;256880;200000000
8596;261724;200000000
9696;279115;200000000
9697;279124;200000000
10077;287126;200000000
10139;288842;200000000
2058;126127;200000000
2280;129922;200000000
2452;132663;200000000
2898;139589;200000000
3787;181061;200000000
4324;192186;200000000
4515;195128;200000000
4524;195350;200000000
3043;142233;195000000
3164;144795;195000000
2961;140631;190000000
3339;170399;190000000
4508;195031;190000000
4727;198750;190000000
679;45890;185000000
1857;115362;185000000
2623;135528;185000000
3197;145475;185000000
5403;215770;185000000
723;47220;180000000
1825;112381;180000000
1897;119089;180000000
1978;123734;180000000
4821;201429;180000000
5149;209062;180000000
4289;191289;180000000
5862;223940;180000000
3973;185030;178000000
5988;225717;178000000
6944;237821;177200000
4725;198721;176000000
731;47357;175000000
1131;57129;175000000
1975;123533;175000000
2093;126692;175000000
2319;130368;175000000
2999;141505;175000000
3660;178855;175000000
3127;144185;175000000
5176;209778;175000000
5785;222692;175000000
5924;224799;175000000
8077;254755;175000000
51;20290;170000000
366;29233;170000000
1453;61280;170000000
4051;186636;170000000
4078;187396;170000000
4399;193108;170000000
3008;141609;170000000
4401;193113;170000000
4614;196604;170000000
5063;206986;170000000
1676;110242;168273550
342;29144;165000000
1139;57212;165000000
1843;114782;165000000
1976;123534;165000000
2479;133392;165000000
2331;130533;165000000
4215;190157;165000000
2756;137425;163000000
689;46370;160000000
1061;55718;160000000
1370;60016;160000000
2262;129526;160000000
3102;143692;160000000
3707;179616;160000000
2973;140894;160000000
5134;208692;160000000
6248;228322;160000000
852;51115;155000000
2147;127922;155000000
2060;126155;154000000
209;28540;150000000
211;28546;150000000
220;28602;150000000
545;40619;150000000
685;46211;150000000
812;49319;150000000
850;51013;150000000
859;51407;150000000
897;52419;150000000
924;52933;150000000
965;53756;150000000
1040;55413;150000000
1107;56798;150000000
1126;57060;150000000
1268;58525;150000000
1272;58608;150000000
1327;59408;150000000
1388;60249;150000000
1392;60502;150000000
1529;105557;150000000
1566;108900;150000000
1723;110815;150000000
1768;111544;150000000
1846;114820;150000000
1850;114887;150000000
1989;124371;150000000
2028;125433;150000000
2256;129477;150000000
2313;130298;150000000
2316;130318;150000000
2366;131016;150000000
2458;132846;150000000
2687;136181;150000000
3080;143048;150000000
3921;183693;150000000
4996;205806;150000000
5422;216485;150000000
6032;226244;150000000
208;28538;150000000
2005;125054;150000000
3801;181289;150000000
4806;201105;150000000
1225;57967;149000000
3455;173720;149000000
1892;119031;145000000
1905;119412;145000000
3284;146915;145000000
3298;147454;145000000
3802;181290;145000000
4478;194397;145000000
4192;189909;145000000
375;29274;142000000
124;27417;140000000
169;28355;140000000
480;35142;140000000
684;46117;140000000
710;46943;140000000
960;53739;140000000
963;53751;140000000
2713;136557;140000000
5088;207730;140000000
5119;208430;140000000
4695;197814;140000000
311;29007;139000000
3105;143746;138000000
106;26885;137000000
458;34509;137000000
7639;248437;136000000
453;34437;135000000
976;53880;135000000
2859;139127;135000000
2966;140675;135000000
3285;146916;135000000
3840;182266;135000000
4292;191356;135000000
6491;230822;135000000
818;49757;135000000
4638;197041;135000000
1090;56393;132000000
678;45889;130000000
706;46865;130000000
716;47111;130000000
902;52501;130000000
997;54205;130000000
1198;57769;130000000
1619;109443;130000000
1974;123532;130000000
1992;124529;130000000
2135;127741;130000000
2324;130438;130000000
3003;141564;130000000
3955;184468;130000000
4062;186905;130000000
4618;196666;130000000
1864;115682;130000000
3337;170252;130000000
9115;269170;129000000
866;51506;128000000
108;27022;127500000
5947;225116;127000000
1067;55792;126000000
663;45361;125000000
1005;54226;125000000
2094;126693;125000000
2151;127950;125000000
2548;134373;125000000
2581;134925;125000000
3124;144148;125000000
3419;173048;125000000
3612;178061;125000000
3878;183006;125000000
4502;194938;125000000
5069;207060;125000000
5829;223264;125000000
9351;273207;125000000
377;29276;125000000
687;46317;125000000
2899;139611;125000000
3336;170209;125000000
4769;200088;125000000
4978;204925;125000000
74;25756;120000000
121;27405;120000000
251;28773;120000000
305;28983;120000000
315;29024;120000000
745;47739;120000000
833;50356;120000000
1009;54343;120000000
1065;55774;120000000
1173;57549;120000000
3013;141694;120000000
3250;146326;120000000
3855;182749;120000000
3783;180999;120000000
6866;236733;120000000
3192;145368;117000000
62;20754;115000000
85;26823;115000000
99;26862;115000000
125;27429;115000000
313;29014;115000000
376;29275;115000000
3875;182991;115000000
546;40623;113000000
2945;140472;112000000
291;28933;110000000
367;29240;110000000
671;45645;110000000
697;46542;110000000
778;48371;110000000
817;49751;110000000
837;50575;110000000
838;50581;110000000
1023;54566;110000000
1352;59809;110000000
1487;61639;110000000
1634;109640;110000000
2300;130203;110000000
2491;133588;110000000
3243;146214;110000000
3408;172808;110000000
3784;181022;110000000
4291;191344;110000000
4461;194075;110000000
5617;220846;110000000
6081;226739;110000000
9525;275675;110000000
9822;281203;110000000
867;51539;110000000
4869;202798;110000000
5686;221524;109000000
170;28356;107000000
46;19483;105000000
558;41134;105000000
1583;109040;105000000
2219;129003;105000000
3019;141808;105000000
4620;196701;105000000
4667;197379;105000000
6019;226078;105000000
4465;194160;103000000
5052;206727;103000000
9463;274234;102670025
325;29068;102000000
469;34917;102000000
3083;143067;102000000
204;28522;100000000
247;28760;100000000
302;28968;100000000
380;29280;100000000
381;29284;100000000
399;29362;100000000
442;33907;100000000
565;41245;100000000
586;42152;100000000
760;48082;100000000
896;52416;100000000
926;53023;100000000
931;53104;100000000
1021;54502;100000000
1466;61469;100000000
1522;88156;100000000
1546;108625;100000000
1849;114867;100000000
2084;126523;100000000
2107;126922;100000000
2126;127524;100000000
2183;128515;100000000
2192;128729;100000000
2222;129054;100000000
2247;129345;100000000
2363;131013;100000000
2488;133535;100000000
2797;138335;100000000
2803;138376;100000000
3057;142555;100000000
3128;144195;100000000
3136;144338;100000000
3242;146132;100000000
3424;173087;100000000
3643;178496;100000000
4033;186189;100000000
4419;193419;100000000
4624;196741;100000000
5363;214763;100000000
5464;217537;100000000
6186;227726;100000000
9471;274387;100000000
10438;296168;100000000
4260;190918;100000000
4783;200433;100000000
5028;206559;100000000
7130;240850;100000000
126;27430;98000000
10113;287908;95371578
35;18524;95000000
675;45685;95000000
3786;181059;95000000
2157;128105;95000000
107;26889;94000000
320;29057;94000000
531;39186;94000000
532;39187;94000000
3074;142913;94000000
3447;173528;93811164
119;27070;93000000
383;29291;93000000
3815;181716;93000000
482;35144;92000000
929;53096;92000000
1290;59011;92000000
3793;181111;92000000
149;27770;90000000
257;28795;90000000
261;28817;90000000
290;28931;90000000
625;44237;90000000
795;48856;90000000
1071;55983;90000000
1396;60580;90000000
1888;118961;90000000
2063;126247;90000000
2112;127179;90000000
3667;178974;90000000
4275;191035;90000000
4311;191904;90000000
5049;206710;90000000
5097;207874;90000000
5218;210318;90000000
5824;223199;90000000
2056;126112;90000000
3262;146550;90000000
6364;229574;90000000
6995;238649;90000000
6384;229857;88000000
255;28787;88000000
8656;262394;87761988
140;27448;87000000
724;47262;87000000
667;45560;87000000
9450;273995;86400000
813;49341;86000000
9952;284846;85900000
96;26857;85000000
146;27763;85000000
217;28572;85000000
259;28802;85000000
460;34517;85000000
758;48007;85000000
1132;57132;85000000
1359;59897;85000000
1379;60132;85000000
1391;60426;85000000
1447;61256;85000000
1632;109635;85000000
1837;114653;85000000
1840;114729;85000000
2055;126079;85000000
2378;131334;85000000
2833;138728;85000000
2868;139202;85000000
3900;183321;85000000
4507;195022;85000000
4615;196612;85000000
6227;228094;85000000
7991;253538;85000000
597;42753;85000000
1669;110195;85000000
1448;61259;84240000
286;28920;84000000
729;47333;84000000
4172;189613;84000000
721;47179;82500000
2097;126882;82000000
8219;256523;82000000
606;43219;81000000
49;20153;80000000
118;27067;80000000
137;27444;80000000
214;28560;80000000
241;28714;80000000
274;28874;80000000
309;29005;80000000
360;29207;80000000
481;35143;80000000
562;41239;80000000
575;41504;80000000
585;42151;80000000
648;45043;80000000
696;46533;80000000
713;47019;80000000
821;49774;80000000
903;52502;80000000
954;53658;80000000
1011;54350;80000000
1180;57616;80000000
1500;61764;80000000
1519;86789;80000000
1527;103306;80000000
1834;114624;80000000
2064;126259;80000000
2111;127136;80000000
2145;127911;80000000
2150;127947;80000000
2215;128955;80000000
2272;129766;80000000
2312;130297;80000000
2417;132039;80000000
2630;135561;80000000
2678;136018;80000000
2941;140458;80000000
3302;147508;80000000
3541;176518;80000000
4091;187818;80000000
4797;200730;80000000
4988;205445;80000000
5391;215570;80000000
5716;221875;80000000
7164;241421;80000000
9814;280993;80000000
9817;281087;80000000
1382;60180;80000000
3122;144132;80000000
6057;226447;80000000
6644;232949;80000000
492;35535;79000000
1531;106905;79000000
3162;144687;79000000
5133;208633;79000000
273;28869;78000000
530;39178;78000000
591;42391;78000000
3169;145083;78000000
4558;195899;78000000
1212;57890;77508480
661;45319;76000000
1416;60792;76000000
4220;190299;76000000
28;16591;75000000
143;27551;75000000
154;27792;75000000
201;28512;75000000
219;28596;75000000
289;28930;75000000
479;35139;75000000
571;41332;75000000
643;44889;75000000
740;47594;75000000
801;49077;75000000
934;53218;75000000
939;53335;75000000
1010;54348;75000000
1410;60723;75000000
1490;61657;75000000
1740;111112;75000000
1806;112075;75000000
2110;127129;75000000
2574;134724;75000000
2918;140136;75000000
