Column1;ID;Budget_dollards
936;53240; 820 000 000,0   
400;29366; 694 000 000,0   
819;49758; 531 000 000,0   
1176;57603; 392 000 000,0   
3610;178014; 350 000 000,0   
205;28524; 335 000 000,0   
1135;57139; 300 000 000,0   
2085;126527; 300 000 000,0   
1786;111744; 300 000 000,0   
3781;180899; 294 700 000,0   
730;47356; 270 000 000,0   
2622;135523; 260 000 000,0   
1082;56136; 258 000 000,0   
1869;116305; 250 000 000,0   
2739;137263; 250 000 000,0   
2905;139812; 250 000 000,0   
5689;221541; 250 000 000,0   
9504;275207; 250 000 000,0   
2460;132874; 250 000 000,0   
4720;198488; 250 000 000,0   
5222;210516; 250 000 000,0   
5375;215143; 250 000 000,0   
5371;215097; 245 000 000,0   
5061;206892; 245 000 000,0   
1454;61282; 237 000 000,0   
2169;128188; 230 000 000,0   
4165;189525; 230 000 000,0   
1134;57138; 225 000 000,0   
1640;109679; 225 000 000,0   
1970;123348; 225 000 000,0   
4063;186918; 225 000 000,0   
2901;139622; 225 000 000,0   
2325;130440; 220 000 000,0   
9320;272433; 220 000 000,0   
4721;198592; 217 000 000,0   
2605;135256; 215 000 000,0   
3775;180655; 215 000 000,0   
914;52719; 210 000 000,0   
4520;195228; 210 000 000,0   
3268;146628; 209 000 000,0   
703;46718; 207 000 000,0   
6;5818; 200 000 000,0   
91;26840; 200 000 000,0   
682;46112; 200 000 000,0   
1137;57197; 200 000 000,0   
1150;57405; 200 000 000,0   
1295;59075; 200 000 000,0   
1630;109572; 200 000 000,0   
1847;114851; 200 000 000,0   
2057;126123; 200 000 000,0   
2092;126678; 200 000 000,0   
2426;132150; 200 000 000,0   
2443;132420; 200 000 000,0   
2557;134539; 200 000 000,0   
2624;135530; 200 000 000,0   
2688;136190; 200 000 000,0   
3204;145646; 200 000 000,0   
8251;256880; 200 000 000,0   
8596;261724; 200 000 000,0   
9696;279115; 200 000 000,0   
9697;279124; 200 000 000,0   
10077;287126; 200 000 000,0   
10139;288842; 200 000 000,0   
2058;126127; 200 000 000,0   
2280;129922; 200 000 000,0   
2452;132663; 200 000 000,0   
2898;139589; 200 000 000,0   
3787;181061; 200 000 000,0   
4324;192186; 200 000 000,0   
4515;195128; 200 000 000,0   
4524;195350; 200 000 000,0   
3043;142233; 195 000 000,0   
