,real,freq
0,Metropolitan FilmExport,"0,043680044"
1,Warner Bros. France,"0,033399943"
2,Universal Pictures International France,"0,029730262"
3,Pathé,"0,03023539"
4,Twentieth Century Fox France,"0,028457836"
5,SND,"0,025845359"
6,StudioCanal,"0,025867787"
7,Pyramide Distribution,"0,026100772"
8,Le Pacte,"0,026683757"
9,Mars Films,"0,026577278"
10,Sony Pictures Releasing France,"0,025827082"
11,Wild Bunch Distribution,"0,025375584"
12,ARP Sélection,"0,025518135"
13,Bac Films,"0,025787585"
14,Paramount Pictures France,"0,024287079"
15,The Walt Disney Company France,"0,024891624"
16,Ad Vitam,"0,024666571"
17,Gaumont Distribution,"0,023378915"
18,Rezo Films,"0,023336344"
19,UGC Distribution,"0,022660706"
20,Haut et Court,"0,022870662"
21,Cinéma Saint-André des Arts,"0,023244552"
22,Dulac Distribution,"0,022806148"
23,Eurozoom,"0,023338407"
24,EuropaCorp Distribution,"0,023722944"
25,Diaphana Distribution,"0,024122029"
26,KMBO,"0,024718284"
27,Les Films du Losange,"0,025158405"
28,Jour2fête,"0,024660677"
29,Shellac,"0,024696198"
30,United International Pictures (UIP),"0,023311897"
31,Epicentre Films,"0,022839506"
32,TFM Distribution,"0,0229522"
33,Memento Distribution,"0,021336207"
34,Mars Distribution,"0,02158115"
35,Bodega Films,"0,020931803"
36,UFO Distribution,"0,017241379"
37,Gebeka Films,"0,017309942"
38,Nour Films,"0,016424661"
39,UFD,"0,015488867"
40,Condor Distribution,"0,015486726"
41,MK2 Diffusion,"0,015480649"
42,Océan Films,"0,014963226"
43,The Jokers ,"0,015190525"
44,Urban Distribution,"0,015163399"
45,Arizona Distribution,"0,014865941"
46,Gaumont Columbia Tristar Films,"0,014551334"
47,Zelig Films Distribution,"0,014219305"
48,JHR Films,"0,014147018"
49,Columbia TriStar Films,"0,014068655"
50,Diaphana Films,"0,014269406"
51,Happiness Distribution,"0,01447597"
52,Les Acacias,"0,01439483"
53,Zootrope Films,"0,014605067"
54,ASC Distribution,"0,014519056"
55,Les Bookmakers ,"0,014426028"
56,Les Films du Préau,"0,014637185"
57,Destiny Films,"0,014538559"
58,Pretty Pictures,"0,014753047"
59, Capricci Films,"0,014648438"
60,Bellissima Films,"0,014866204"
61, Les Bookmakers,"0,014755198"
62,Cinéma Public Films,"0,014635807"
63,Tamasa Distribution,"0,014853195"
64,Apollo Films,"0,014726508"
65,Night ed films,"0,014946619"
66,Alfama Films,"0,014812139"
67,Damned Distribution,"0,015034837"
68,Outplay Films,"0,015264334"
69,Buena Vista International,"0,015122873"
70,Jupiter Films,"0,014587332"
71,Aanna Films,"0,014413713"
72,Ed Distribution,"0,014229249"
73,Norte Distribution,"0,014434643"
74,New Story,"0,014239219"
75,Potemkine Films,"0,014032191"
76,Alba Films,"0,013813311"
77,KapFilms,"0,014006791"
78,Paname Distribution,"0,014205768"
79,Carlotta Films,"0,013537118"
80,Les Films des Deux Rives,"0,013722886"
81, Le Pacte,"0,013464991"
82,Art House,"0,013648772"
83,Saje Distribution,"0,013837638"
84,Hévadis Films,"0,013564079"
85,Les Films du Paradoxe,"0,013276434"
86,Wayna Pitch,"0,012974531"
87,La Vingt-Cinquième Heure,"0,012658228"
88,Météore Films,"0,012820513"
89,Survivance,"0,012987013"
90,Paradis Films,"0,012651822"
91,Chrysalis Films,"0,012301384"
92,Septième Factory,"0,012454593"
93,L'Atelier Distribution,"0,01208618"
94,UGC,"0,012234043"
95,CTV International,"0,011847065"
96,Les Films de l'Atalante,"0,011444142"
97,Optimale Distribution,"0,011576626"
98, A Vif Cinemas,"0,01115449"
99,Capricci Films,"0,011280316"
100,DHR distribution ,"0,011409013"
101,Les Films à Fleur de Peau,"0,011540681"
102,Tandem,"0,011091652"
103,Wild Side Films ,"0,011216057"
104,ZED,"0,011343284"
105,Zeugma Films,"0,01147343"
106,DistriB Films,"0,010995724"
107,Films sans Frontières,"0,011117974"
108,Friday Entertainment,"0,011242973"
109,Aramis Films,"0,010739103"
110,Chapeau Melon Distribution,"0,010855683"
111,Dissidenz Films,"0,010974822"
112,Docks 66,"0,011096606"
113,Gaumont Buena Vista International (GBVI),"0,011221122"
114,La Belle Company,"0,011348465"
115,Les Alchimistes,"0,011478731"
116, UGC Distribution,"0,010928962"
117,Colifilms Diffusion,"0,011049724"
118,Orange Studio Distribution ,"0,011173184"
119,Pan Européenne Edition,"0,011299435"
120,Bobine Films,"0,010714286"
121,Malavida Films,"0,010830325"
122,La Fabrique de Films,"0,010218978"
123,Panoceanic Films,"0,010324484"
124,Vendredi Distribution,"0,010432191"
125,Dean Medias,"0,009789157"
126,Les Films du Whippet,"0,009885932"
127,SBS Distribution,"0,009984639"
128,Splendor Films,"0,010085337"
129,VisioSfeir,"0,010188088"
130,Folimage,"0,009501188"
131,MC4 Distribution,"0,009592326"
132,Aloest Distribution,"0,008878128"
133,Baba Yaga Films,"0,008957655"
134,Equation,"0,00903862"
135,NiZ !,"0,009121061"
136,Solaris Distribution,"0,009205021"
137, Orange Studio,"0,008445946"
138,CGR EVENTS,"0,008517888"
139,Contre-Allée Distribution,"0,008591065"
140,Kinovista,"0,008665511"
141,Quinta Distribution,"0,008741259"
142,Rouge Distribution,"0,008818342"
143,Star Invest Films France,"0,008896797"
144,TF1 Vidéo,"0,008976661"
145,A3 Distribution,"0,008152174"
146,Gémini Films,"0,008219178"
147,ISKRA,"0,008287293"
148,JML Distribution,"0,008356546"
149,Les Valseurs,"0,008426966"
150,UGC Ph,"0,008498584"
151,Esperanza Productions,"0,007619048"
152,Les Productions de la Géode,"0,007677543"
153,Luminor (CTV),"0,007736944"
154,Pierre Grise Distribution,"0,007797271"
155,Pointligneplan,"0,007858546"
156,Premium Films,"0,007920792"
157,Why Not Productions,"0,007984032"
158,ADR Productions,"0,007042254"
159,Albany Films distribution,"0,007092199"
160,Blaq Out,"0,007142857"
161,La Huit,"0,007194245"
162,Les Films du Camelia,"0,007246377"
163,Luminor (La Fabrique),"0,00729927"
164,Next Film Distribution,"0,007352941"
165,Ouragan films,"0,007407407"
166,Pan Distribution,"0,007462687"
167,Tadrart Films,"0,007518797"
168,Wide Distribution,"0,007575758"
169,Zinc Film,"0,007633588"
170, Bac Films,"0,006593407"
171,Apollo Films ,"0,006637168"
172,Ciné Classic,"0,006681514"
173,Floris Films,"0,006726457"
174,Juste Distribution,"0,006772009"
175,La Fabrique 2,"0,006818182"
176,La Traverse,"0,006864989"
177,Les Films 13,"0,006912442"
178,Les Films d'Ici,"0,006960557"
179,LFR Films,"0,007009346"
180,Margo Cinema,"0,007058824"
181,Mica Films,"0,007109005"
182,Pathé Live,"0,007159905"
183,UGC Distribution ,"0,007211538"
184, TF1 Studio,"0,006053269"
185,Acte Films,"0,006090134"
186,Artédis,"0,006127451"
187,BlueBird Distribution,"0,006165228"
188,Carrère Group,"0,006203474"
189,Cinévia Films,"0,006242197"
190,Dark Star Presse,"0,006281407"
191,Editions Montparnasse,"0,006321113"
192,Héliotrope Films,"0,006361323"
193,L.C.J. Editions et Productions,"0,006402049"
194,L'Agence du court métrage,"0,006443299"
195,Laterit Productions,"0,006485084"
196,Légende Distribution,"0,006527415"
197,Little KMBO,"0,006570302"
198,Mission,"0,006613757"
199,Orange Studio,"0,00665779"
200,Stray Dogs Distribution,"0,006702413"
201,Tanzi Distribution,"0,006747638"
202, Luminor,"0,005434783"
203,Atypik Films,"0,005464481"
204,Bon Voyage Films,"0,005494505"
205,Ciné Sorbonne,"0,005524862"
206,ID Distribution,"0,005555556"
207,J+B Séquences Distribution,"0,005586592"
208,Juste Doc,"0,005617978"
209,Kinovista ,"0,005649718"
210,La Mare Distribution,"0,005681818"
211,Lardux Films,"0,005714286"
212,Les Films d'un Jour,"0,005747126"
213,Les Mutins de Pangée,"0,005780347"
214,Ligne 7,"0,005813953"
215,Local Films,"0,005847953"
216,Marco Polo Production,"0,005882353"
217,Moonlight Films Distribution,"0,00591716"
218,Parasite Distribution,"0,005952381"
219,Perspective Films,"0,005988024"
220,Promenades Films,"0,006024096"
221,Studio 37 ,"0,006060606"
222,Surreal Distribution,"0,006097561"
223,TS Productions,"0,006134969"
224,VraiVrai Films,"0,00617284"
225, Jour2fête,"0,004658385"
226, Rezo Films,"0,004680187"
227,20th Century Studios,"0,004702194"
228,2iFILMS,"0,004724409"
229,À Vif Cinémas,"0,004746835"
230,Accatone Distribution,"0,004769475"
231,Alea Films,"0,004792332"
232,Art Cinefeel,"0,004815409"
233,Arte,"0,00483871"
234,BarProd,"0,004862237"
235,Borealia Films,"0,004885993"
236,Carron Distribution,"0,004909984"
237,CDP,"0,004934211"
238,Contre Allée Distribution,"0,004958678"
239,Dialectik,"0,004983389"
240,ESC Films,"0,005008347"
241,Euro TV,"0,005033557"
242,Fondivina Films,"0,005059022"
243,Fratel Films,"0,005084746"
244,Grizouille Films,"0,005110733"
245,Happiness,"0,005136986"
246,Kamea Meah Films,"0,005163511"
