,nom_scenaristes,recompenses_scenaristes,carriere_duree_scenaristes,films_series_scenaristes
0,YvonMarciano,0.0,31.0,6.0
1,ZofiaPosmysz,0.0,0.0,0.0
2,EliotStannard,0.0,0.0,0.0
3,LeonHirszman,1.0,15.0,11.0
4,ArmandGatti,0.0,56.0,9.0
5,HarveyFierstein,0.0,35.0,26.0
6,JamesCameron,9.0,43.0,43.0
7,KryzsztofPiesiewicz,0.0,22.0,0.0
8,PierreKoralnik,0.0,37.0,13.0
9,PeterBrook,0.0,58.0,15.0
10,JurijusJakovlevas,0.0,0.0,0.0
11,BenoitMariage,0.0,33.0,9.0
12,JamesHadleyChase,0.0,0.0,0.0
13,KimKi-Young,0.0,40.0,21.0
14,MikeLeigh,7.0,52.0,27.0
15,AnneLeNy,1.0,28.0,73.0
16,JimCapobianco,0.0,27.0,3.0
17,ArnauddesPallieres,1.0,32.0,13.0
18,LeeHall,0.0,0.0,0.0
19,Jean-FrancoisFerrillon,0.0,0.0,0.0
20,MichaelWilson,3.0,37.0,8.0
21,HaruyaYamazaki,0.0,0.0,0.0
22,NatalieFuchs,0.0,0.0,0.0
23,EdwardYang,1.0,25.0,11.0
24,DanieleCipri,0.0,26.0,6.0
25,HeleneAngel,0.0,30.0,12.0
26,BillyFrolick,0.0,0.0,0.0
27,MatthieuDelaporte,0.0,17.0,7.0
28,HiamAbbass,1.0,37.0,89.0
29,PaulLaverty,2.0,24.0,0.0
30,EricRoth,2.0,51.0,2.0
31,EdwardDecter,0.0,23.0,4.0
32,JohnEskow,0.0,0.0,0.0
33,RobertRodat,0.0,23.0,0.0
34,AndrewNiccol,3.0,24.0,12.0
35,EmmanuelBourdieu,2.0,23.0,11.0
36,OlivierAssayas,2.0,46.0,52.0
37,FredFougea,0.0,25.0,8.0
38,ChrisCarter,0.0,32.0,8.0
39,MichaelHirst,0.0,35.0,3.0
40,JamesDeMonaco,0.0,27.0,8.0
41,LisaAzuelos,1.0,26.0,12.0
42,DavidKoepp,1.0,36.0,12.0
43,ToddAlcott,0.0,20.0,2.0
44,GuillermoArriaga,1.0,20.0,9.0
45,StephenSommers,0.0,29.0,11.0
46,RichardCurtis,0.0,40.0,9.0
47,S.S.Wilson,0.0,17.0,4.0
48,LouisGardel,0.0,29.0,0.0
49,JohnBrownjohn,0.0,0.0,0.0
50,TreyParker,0.0,33.0,21.0
51,MichelDeville,5.0,52.0,35.0
52,MichaelHoffman,0.0,39.0,14.0
53,LeslieDixon,0.0,0.0,0.0
54,StanleyKubrick,2.0,48.0,21.0
55,AdamSandler,6.0,37.0,69.0
56,Francois-OlivierRousseau,0.0,0.0,0.0
57,GeorgeLucas,1.0,57.0,40.0
58,NuriBilgeCeylan,5.0,28.0,14.0
59,YoshiyukiFukuda,0.0,0.0,0.0
60,M.NightShyamalan,4.0,29.0,23.0
61,AgnesJaoui,11.0,41.0,45.0
62,SebastienBailly,0.0,23.0,8.0
63,FabianRemy,0.0,0.0,0.0
64,ToddFarmer,0.0,20.0,6.0
65,ArtusdePenguern,0.0,33.0,61.0
66,JoelCoen,15.0,43.0,30.0
67,JeanneBiras,0.0,29.0,5.0
68,TabMurphy,0.0,34.0,0.0
69,PierreJolivet,2.0,63.0,26.0
70,DidierLePecheur,0.0,26.0,25.0
71,DorianaLeondeff,0.0,0.0,0.0
72,WongKar-Wai,3.0,35.0,25.0
73,RobertGuediguian,3.0,43.0,26.0
74,KambuziaPartovi,0.0,22.0,3.0
75,GaryGoldman,0.0,43.0,11.0
76,FrancoisOzon,7.0,35.0,44.0
77,AndrewDominik,2.0,21.0,9.0
78,EricBesnard,0.0,27.0,10.0
79,JohnRice,0.0,35.0,5.0
80,RobertNelsonJacobs,0.0,0.0,0.0
81,AlejandroAmenabar,3.0,30.0,13.0
82,RodLurie,1.0,32.0,23.0
83,BillyBobThornton,2.0,37.0,84.0
84,JohnBoorman,4.0,54.0,30.0
85,JohnD.Brancato,0.0,26.0,0.0
86,DuaneAdler,0.0,18.0,2.0
87,MarionVernoux,0.0,30.0,20.0
88,JohnPogue,0.0,25.0,7.0
89,TonyGilroy,0.0,29.0,5.0
90,TedGriffin,0.0,22.0,7.0
91,KennethBranagh,5.0,42.0,73.0
92,KatieFord,0.0,40.0,0.0
93,PeteDocter,6.0,28.0,8.0
94,BazLuhrmann,2.0,42.0,16.0
95,AdamResnick,0.0,27.0,2.0
96,ScottAbbott,0.0,18.0,0.0
97,MarkSwift,0.0,20.0,2.0
98,PatrickLevy,0.0,23.0,9.0
99,MikeRich,0.0,0.0,0.0
100,HironobuSakaguchi,0.0,7.0,0.0
101,SylvesterStallone,5.0,54.0,110.0
102,WalonGreen,0.0,48.0,3.0
103,DonnaPowers,0.0,3.0,0.0
104,GillesPaquet-Brenner,2.0,23.0,14.0
105,TedTally,0.0,0.0,0.0
106,PamelaFalks,0.0,0.0,0.0
107,LarrySulkis,0.0,0.0,0.0
108,FrancisFordCoppola,11.0,62.0,60.0
109,HowardFranklin,0.0,26.0,5.0
110,Jean-PierreJeunet,9.0,42.0,21.0
111,DavidSelf,0.0,0.0,0.0
112,PeterJackson,13.0,45.0,36.0
113,MarioGiordano,0.0,0.0,0.0
114,JosephKosinski,0.0,14.0,14.0
115,TedElliott,0.0,0.0,0.0
116,AndrewLowery,0.0,29.0,8.0
117,RandallWallace,0.0,34.0,7.0
118,PatrickMassett,0.0,28.0,5.0
119,JoelSoisson,0.0,34.0,8.0
120,AudreyWells,1.0,23.0,2.0
121,ScottMarshallSmith,0.0,20.0,2.0
122,Jean-PaulSalome,1.0,33.0,14.0
123,J.H.Wyman,0.0,28.0,4.0
124,EricJudor,1.0,25.0,40.0
125,CameronCrowe,2.0,41.0,20.0
126,JohnHerzfeld,0.0,47.0,19.0
127,SimonMoore,0.0,26.0,2.0
128,JeremyLeven,1.0,28.0,2.0
129,GregoryAllenHoward,0.0,0.0,0.0
