,ID
8446,nm2345205
8449,nm0309846
8450,nm0970821
8451,nm0410348
8452,nm0867780
8455,nm0215628
8456,nm0060780
8466,nm0016375
8467,nm1344222
8469,nm3346912
8472,nm0714378
8477,nm0786803
8484,nm10236692
8491,nm0604416
8492,nm0452831
8493,nm7630295
8500,nm0486492
8501,nm0857855
8502,nm2061168
8503,nm1711764
8504,nm3359881
8505,nm1742325
8509,nm9501339
8513,nm0083411
8528,nm1127992
8533,nm10582347
8537,nm1422395
8538,nm2142924
8539,nm11613848
8541,nm1945348
8547,nm0092291
8558,nm1842777
8559,nm0695807
8561,nm0898223
8564,nm0397386
8567,nm15660682
8569,nm2081454
8571,nm2010399
8572,nm2286484
8573,nm2017006
8574,nm2304645
8575,nm0451371
8576,nm0797816
8581,nm3175092
8585,nm2223623
8586,nm0204914
8592,nm2757388
8594,nm1305361
8597,nm3664070
8601,nm0545175
8603,nm2291703
8604,nm11883295
8608,nm0062359
8609,nm5401821
8611,nm1655327
8613,nm15608917
8617,nm3041807
8619,nm11397928
8620,nm0651872
8621,nm7690204
8622,nm2388444
8624,nm0517155
8626,nm7042319
8627,nm2378577
8630,nm2603726
8631,nm2147913
8634,nm0407329
8637,nm1404505
8639,nm3563631
8642,nm7695828
8643,nm2759893
8647,nm3301394
8652,nm2362404
8655,nm1992817
8656,nm1463127
8657,nm1912704
8658,nm2379528
8666,nm0094445
8668,nm3072467
8674,nm4794498
8675,nm0302020
8677,nm3640837
8678,nm3218213
8682,nm3018114
8688,nm3540035
8689,nm3119499
8693,nm2804996
8694,nm10018645
8695,nm3756517
8696,nm1243998
8700,nm2858240
8702,nm3010965
8703,nm15663092
8705,nm2789721
8708,nm3123109
8711,nm11446528
8712,nm8752314
8714,nm0547732
8716,nm4971490
8717,nm0720743
8725,nm6682917
8726,nm13979349
8727,nm2551393
8730,nm2919937
8732,nm0408093
8736,nm9038704
8738,nm3313124
8739,nm0049658
8740,nm3068515
8743,nm3308253
8745,nm14334490
8746,nm3648519
8750,nm2569290
8751,nm11847450
8752,nm3905923
8755,nm1086769
8756,nm0229105
8757,nm15667298
8760,nm1845027
8761,nm0028805
8762,nm9043697
8766,nm1154750
8772,nm3816429
8773,nm3398352
8774,nm4516422
8775,nm3015033
8776,nm0754416
8783,nm4086647
8784,nm6996153
8791,nm11973821
8793,nm3756192
8795,nm3560456
