ID,director,STARmeter
nm0000005,IngmarBergman,3989
nm0000033,AlfredHitchcock,1441
nm0000040,StanleyKubrick,1053
nm0000091,GerardPires,130542
nm0000095,WoodyAllen,1082
nm0000108,LucBesson,2009
nm0000110,KennethBranagh,534
nm0000114,SteveBuscemi,1135
nm0000116,JamesCameron,1644
nm0000123,GeorgeClooney,497
nm0000127,WesCraven,6380
nm0000142,ClintEastwood,195
nm0000146,RalphFiennes,663
nm0000149,JodieFoster,25
nm0000154,MelGibson,403
nm0000169,TommyLeeJones,155
nm0000184,GeorgeLucas,4946
nm0000186,DavidLynch,910
nm0000217,MartinScorsese,224
nm0000229,StevenSpielberg,319
nm0000231,OliverStone,3072
nm0000243,DenzelWashington,185
nm0000247,JohnWoo,4393
nm0000264,PedroAlmodovar,2728
nm0000265,RobertAltman,5439
nm0000269,Jean-JacquesAnnaud,16607
nm0000272,FannyArdant,9589
nm0000278,PernillaAugust,2934
nm0000318,TimBurton,1159
nm0000338,FrancisFordCoppola,1041
nm0000343,DavidCronenberg,1943
nm0000361,BrianDePalma,2952
nm0000362,DannyDeVito,1108
nm0000382,AtomEgoyan,14646
nm0000386,RolandEmmerich,4655
nm0000389,EmilioEstevez,1548
nm0000399,DavidFincher,650
nm0000419,Jean-LucGodard,8112
nm0000420,ValeriaGolino,1913
nm0000425,PeterGreenaway,11004
nm0000431,TaylorHackford,10483
nm0000436,CurtisHanson,12384
nm0000438,EdHarris,1416
nm0000464,JimJarmusch,3992
nm0000466,Jean-PierreJeunet,6911
nm0000484,JohnLandis,5906
nm0000487,AngLee,5342
nm0000490,SpikeLee,2090
nm0000500,RichardLinklater,2305
nm0000517,TerrenceMalick,3818
nm0000519,DavidMamet,7648
nm0000520,MichaelMann,1286
nm0000521,SophieMarceau,2213
nm0000570,AlanParker,9828
nm0000576,SeanPenn,1442
nm0000581,JosephL.Mankiewicz,13045
nm0000583,WolfgangPetersen,8752
nm0000591,RomanPolanski,2410
nm0000602,RobertRedford,1140
nm0000625,FredSavage,3080
nm0000626,JohnSayles,11305
nm0000631,RidleyScott,460
nm0000682,PaulVerhoeven,2683
nm0000691,JohnWaters,5720
nm0000694,WimWenders,1014
nm0000705,RobinWright,513
nm0000709,RobertZemeckis,2670
nm0000750,JonAmiel,29921
nm0000759,PaulThomasAnderson,983
nm0000774,MichelangeloAntonioni,12725
nm0000776,MichaelApted,16855
nm0000777,GreggAraki,11223
nm0000780,DenysArcand,39806
nm0000782,AsiaArgento,3332
nm0000783,DarioArgento,5983
nm0000801,OlivierAssayas,14897
nm0000806,BilleAugust,21408
nm0000809,DanielAuteuil,17261
nm0000812,RogerAvary,14386
nm0000816,JonAvnet,22275
nm0000852,Jean-MarcBarr,20502
nm0000853,BrunoBarreto,54949
nm0000876,NoahBaumbach,3368
nm0000881,MichaelBay,2242
nm0000887,HaroldBecker,27568
nm0000894,Jean-JacquesBeineix,43278
nm0000905,RobertoBenigni,8393
nm0000915,BruceBeresford,22580
nm0000934,BernardoBertolucci,8741
nm0000941,KathrynBigelow,3721
nm0000945,JaneBirkin,7154
nm0000948,ShaneBlack,3285
nm0000953,PeterBogdanovich,5557
nm0000958,JohnBoorman,12268
nm0000965,DannyBoyle,2888
nm0001005,JaneCampion,10618
nm0001024,NickCassavetes,4265
nm0001031,ClaudeChabrol,15338
nm0001053,EthanCoen,1071
nm0001054,JoelCoen,1383
nm0001060,ChrisColumbus,5923
nm0001068,SofiaCoppola,1242
nm0001081,CameronCrowe,7166
nm0001093,JohnDahl,16488
nm0001097,CharlesDance,2300
nm0001102,JoeDante,9340
nm0001112,AndrewDavis,12016
nm0001125,BenicioDelToro,1323
nm0001129,JonathanDemme,6488
nm0001130,TedDemme,25047
nm0001139,TomDiCillo,30545
nm0001149,RichardDonner,7980
nm0001162,GriffinDunne,3572
nm0001188,NoraEphron,7384
nm0001202,RainerWernerFassbinder,9446
nm0001206,AbelFerrara,8542
nm0001219,GaryFleder,27590
nm0001226,JamesFoley,14279
nm0001232,MilosForman,7780
nm0001241,StephenFrears,8668
nm0001243,WilliamFriedkin,5407
nm0001281,BobcatGoldthwait,3025
nm0001282,TonyGoldwyn,1204
nm0001317,RennyHarlin,5092
nm0001331,ToddHaynes,3844
nm0001338,BrianHelgeland,7685
nm0001348,WernerHerzog,1787
nm0001353,WalterHill,7194
nm0001355,MichaelHoffman,28012
nm0001361,TobeHooper,12071
nm0001382,PeterHyams,16287
nm0001392,PeterJackson,1705
nm0001401,AngelinaJolie,339
nm0001403,NeilJordan,10352
nm0001405,JanuszKaminski,18090
nm0001408,ShekharKapur,13540
nm0001410,LawrenceKasdan,12436
nm0001429,TakeshiKitano,9360
nm0001437,EmirKusturica,12705
nm0001438,NeilLaBute,20838
nm0001460,MimiLeder,11993
nm0001469,BarryLevinson,6179
nm0001486,SidneyLumet,4277
nm0001490,AdrianLyne,12178
nm0001502,LuisMandoki,63414
nm0001532,JohnMcTiernan,2611
nm0001536,ToshiroMifune,4627
nm0001565,MikeNewell,13202
nm0001566,MikeNichols,8054
nm0001628,SydneyPollack,4797
nm0001631,SarahPolley,2140
nm0001639,AlexProyas,8493
nm0001641,VincentPerez,11983
nm0001675,RobertRodriguez,2780
nm0001681,GeorgeA.Romero,9330
nm0001707,PaulSchrader,3976
nm0001708,JoelSchumacher,6196
nm0001709,TilSchweiger,6744
nm0001710,DavidSchwimmer,1972
nm0001716,TonyScott,3707
nm0001723,TomShadyac,8613
nm0001741,BryanSinger,4203
nm0001747,CharlesMartinSmith,6633
nm0001752,StevenSoderbergh,2357
nm0001754,ToddSolondz,6410
nm0001756,BarrySonnenfeld,12074
nm0001774,BenStiller,708
nm0001775,WhitStillman,24091
nm0001814,GusVanSant,3089
nm0001837,PeterWeir,6063
nm0001843,JamesWhale,26839
nm0001874,FrancoZeffirelli,17591
nm0001878,DavidZucker,12488
nm0001880,EdwardZwick,1321
nm0001885,LarsvonTrier,2493
nm0001901,ChantalAkerman,16364
nm0001929,JosianeBalasko,32176
nm0001960,RomaneBohringer,31609
nm0001994,MichaelCaton-Jones,23371
nm0002020,Costa-Gavras,14366
nm0002044,RogerDonaldson,17085
nm0002077,DexterFletcher,2200
nm0002083,CarlFranklin,15624
nm0002105,JudithGodreche,3475
nm0002120,LasseHallstrom,8105
nm0002140,AgnieszkaHolland,15780
nm0002159,AlejandroAgresti,68587
nm0002167,GianniAmelio,91690
nm0002174,YvesAngelo,333900
nm0002178,AlexandreArcady,121854
nm0002180,FrancescaArchibugi,171406
nm0002191,JacquesAudiard,17786
nm0002194,PupiAvati,46015
nm0002218,ClaudeMiller,84551
nm0002253,JohnCarrollLynch,3878
nm0002339,AllenCoulter,32831
nm0002611,ClausDrexel,500074
nm0002645,PaoloGenovese,33480
nm0002653,JoeJohnston,8290
nm0002657,GaryRoss,16100
nm0002700,MalcolmD.Lee,28117
nm0002728,JuanJoseCampanella,25065
nm0002739,DanielGeller,392523
nm0002870,PierreCourrege,1893160
nm0002892,WallyPfister,15551
nm0003021,ChrisMcKay,17109
nm0003029,IsabelleBroue,582552
nm0003088,ChrisNoonan,59995
nm0003152,SeanMcGinly,121546
nm0003160,ChristopherMcQuarrie,4895
nm0003343,RobSchmidt,73309
nm0003418,RobCohen,16155
nm0003474,TroyMiller,50407
nm0003482,NashEdgerton,14809
nm0003506,JamesMangold,4133
nm0003508,MichelBlanc,40139
nm0003532,DouglasLaw,2002536
nm0003557,RichardJ.Lewis,56264
nm0003606,PhilippedeBroca,74978
nm0003697,FlorianHenckelvonDonnersmarck,19961
nm0003745,AnthonyFabian,73612
nm0003910,TravisFine,19939
nm0003974,PhilippeMuyl,314544
nm0004124,LaurentHerbiet,502557
nm0004165,LanceW.Dreesen,385137
nm0004202,Jean-PierreDuret,644883
nm0004217,AndreOvredal,12412
nm0004234,AlfonsoGomez-Rejon,30492
nm0004303,GavinHood,20224
nm0004305,GeorgeMiller,30218
nm0004332,RobertB.Weide,25301
nm0004363,RakeshRoshan,44194
nm0004380,AntoinedeCaunes,64610
nm0004410,MarkNeveldine,17110
nm0004541,DavidBlair,115656
nm0004675,PhilAldenRobinson,27151
nm0004689,FredericForestier,159050
nm0004716,DarrenAronofsky,750
nm0004810,ChrisCarter,17414
nm0005008,BrianHenson,19755
nm0005069,SpikeJonze,2998
nm0005101,HarmonyKorine,6437
nm0005124,JohnLasseter,13095
nm0005139,MikeLeigh,7471
nm0005222,SamMendes,4048
nm0005303,KimberlyPeirce,33037
nm0005363,GuyRitchie,307
nm0005366,JayRoach,13503
nm0005387,JoeRoth,42928
nm0005421,RonShelton,19417
nm0005436,JohnSingleton,8913
nm0005509,JonTurteltaub,14900
nm0005572,LiliFiniZanuck,64551
nm0005628,OliverSchmitz,156722
nm0005647,AndrzejBartkowiak,27598
nm0005723,Pierre-WilliamGlenn,244913
nm0006407,FredNicolas,1328687
nm0006445,EricRohmer,11664
nm0006476,PaulMcGuigan,20358
nm0006487,JimSheridan,13317
nm0006498,MajidMajidi,29093
nm0006554,RodrigoGarcia,28660
nm0006620,Jean-PierreMocky,47695
nm0006685,GerryLively,185489
nm0006734,AlainCorneau,41673
nm0006765,VidhuVinodChopra,13301
nm0006845,SallyPotter,29369
nm0006846,RicRomanWaugh,10669
nm0006854,RogerSpottiswoode,25875
nm0006856,JoseLuisLopez-Linares,254756
nm0006904,TonyGilroy,8875
nm0006939,RichardBerry,75510
nm0006954,PierreSchoendoerffer,182060
nm0006960,JohnMadden,16097
nm0006969,ElizabethBanks,37
nm0007052,NickQuinn,8150417
nm0007082,JohnStockwell,8828
nm0007158,NielsMueller,153212
nm0007181,YashChopra,31283
nm0007235,IlariaBorrelli,155309
nm0007439,DouglasAarniokoski,47836
nm0007622,SouAbadi,871818
nm0007814,HiamAbbass,5078
nm0008080,OlivierAbbou,169542
nm0008332,AktanArymKubat,335965
nm0008442,DominiqueAbel,77525
nm0008773,JudithAbitbol,745072
nm0008953,MarcAbraham,102885
nm0009287,AluizioAbranches,734470
nm0009463,HanyAbu-Assad,45414
nm0009753,JeanAchache,539853
nm0009765,LaurentAchard,750003
nm0009942,ShaneAcker,37457
nm0011470,AndrewAdamson,24303
nm0011752,MarenAde,23085
nm0013041,GabrielAghion,272490
nm0013676,ArantxaAguirre,656608
nm0014520,ShuAiello,1434503
nm0014694,KarimAinouz,28486
nm0014960,AlexandreAja,15204
nm0015295,ZoyaAkhtar,26636
nm0015359,FatihAkin,10964
nm0015533,BarmakAkram,848980
nm0016475,BarbaraAlbert,210992
nm0016900,KarinAlbou,508364
nm0018132,LisaAzuelos,71569
nm0018133,PatrickAlessandrin,292941
nm0019242,DanielAlfredson,79436
nm0019247,TomasAlfredson,16170
nm0019341,DanielAlgrant,154089
nm0019414,ChristopheAli,11334689
nm0019638,AbdollahAlimorad,11140708
nm0020491,ElizabethAllenRosenbaum,61413
nm0021249,RogerAllers,65619
nm0021577,MerzakAllouache,187628
nm0021899,MichaelAlmereyda,42915
nm0022163,DavidAlonso,1695882
nm0022768,KentAlterman,117702
nm0023355,ChristianAlvart,26948
nm0023517,RubenAlves,90056
nm0023703,ChristopheAleveque,1276214
nm0023832,MathieuAmalric,14638
nm0024104,JorgeAmat,2113419
nm0024173,MassimilianoAmato,964219
nm0024617,MarcoAmenta,307282
nm0024622,AlejandroAmenabar,9826
nm0024925,HosseinAmini,34253
nm0025340,SylvestreAmoussou,1451744
nm0025435,SimonAmstell,49297
nm0025534,Jean-PierreAmeris,117809
nm0026442,BradAnderson,13519
nm0027271,PaulW.S.Anderson,5448
nm0027459,StephenJ.Anderson,37706
nm0027572,WesAnderson,551
nm0027815,RoyAndersson,17667
nm0027943,MasashiAndo,346212
nm0027948,RobertoAndo,182176
nm0028764,MarkAndrews,50893
nm0028981,Jean-JacquesAndrien,5277072
nm0028998,MichelAndrieu,370670
nm0029242,AndreTechine,36670
nm0029268,FredericAndrei,40359
nm0029458,HeleneAngel,893439
nm0029762,CedricAnger,391569
nm0030253,GrahamAnnable,176934
nm0030417,HideakiAnno,18327
nm0030681,SolveigAnspach,365721
nm0030735,NimrodAntal,19002
nm0031888,ShinjiAoyama,122243
nm0031976,JuddApatow,3433
nm0033243,RameshAravind,145814
nm0033384,DanielleArbid,116528
nm0033596,LouiseArchambault,74436
nm0034390,NielsArestrup,35531
nm0035305,FrancoisArmanet,7569794
nm0035404,MontxoArmendariz,251835
nm0035905,ScotArmstrong,83599
nm0036331,PascalArnold,147527
nm0036349,AndreaArnold,10410
nm0037247,GuillermoArriaga,37268
nm0037575,ThomasArslan,67054
nm0037708,MiguelArteta,31181
nm0037867,YannArthus-Bertrand,82811
nm0038475,KevinAsch,957939
nm0038604,ArniOlafurAsgeirsson,134817
nm0038896,RodneyAscher,82627
nm0040939,YvanAttal,28365
nm0041161,PhilipG.Atwell,127276
nm0041334,StephaneAubier,157820
nm0041370,VeroniqueAubouy,1162451
nm0041474,FredericAuburtin,223886
nm0041527,SylvieAudcoeur,423417
nm0041576,SophieAudier,1974344
nm0042120,DieterAuner,1299060
nm0042848,SergeAvedikian,295795
nm0043109,MichalAviad,363018
nm0043211,YossiAviram,258750
nm0043232,NurithAviv,416118
nm0043705,KaderAyd,560088
nm0043742,DavidAyer,1840
nm0043909,SylvieAyme,191788
nm0043953,NabilAyouch,77269
nm0044096,OlivierAzam,13094056
nm0044310,MyriamAziza,907031
nm0045574,DominicBachy,7738637
nm0046347,EdouardBaer,44765
nm0046366,MartinBaer,12297532
nm0046494,LaurentBaffie,323994
nm0047028,JenniferBaichwal,166242
nm0047049,LionelBaier,221585
nm0047193,ChrisBailey,193069
nm0047259,FentonBailey,97014
nm0047384,LucyBailey,1127933
nm0047645,PascaleBailly,646093
nm0047844,VladislavBayramgulov,1476216
nm0048718,Leandre-AlainBaker,3671013
nm0048918,SeanBaker,7284
nm0049294,VincentBal,252450
nm0049371,JaumeBalaguero,30366
nm0049372,CarlesBalague,691341
nm0049633,KyleBalda,64340
nm0050988,ThomasBalmes,234385
nm0051206,NicBalthazar,270168
nm0052508,JeremyBanster,98515
nm0052755,SharonBar-Ziv,383383
nm0053028,PhilipBarantini,8328
nm0053059,PhilippeBarassat,302794
nm0053190,RandyBarbato,198536
nm0053613,EricBarbier,167780
nm0054077,ParisBarclay,31810
nm0054285,ThomasBardinet,697319
nm0054318,PatriciaBardon,1751328
nm0056433,PierreBarougier,1644640
nm0056715,MarcBarrat,1831714
nm0056725,ChristopheBarratier,86058
nm0057825,MarioBarroso,1186505
nm0057842,OlivierBaroux,149311
nm0058401,SharunasBartas,101349
nm0060742,JoyBatchelor,377119
nm0061582,StephaneBatut,286854
nm0062189,SigneBaumane,249112
nm0063769,CharlieBean,97705
nm0064181,StuartBeattie,35039
nm0064268,AdrienBeau,311342
nm0064394,JeanBeaudin,386979
nm0064741,XavierBeauvois,61502
nm0064901,PierreBeccu,942211
nm0065009,MarcoBechis,159280
nm0065284,SteveBeck,51027
nm0065449,JeanBecker,89109
nm0065521,MarkBecker,291774
nm0065608,WaltBecker,52079
nm0067166,FredericBeigbeder,244758
nm0067457,TimurBekmambetov,12420
nm0067464,Jean-PierreBekolo,347373
nm0068034,AnthonyBell,314365
nm0068587,WilliamBrentBell,27221
nm0068755,ClaraBellar,76051
nm0069166,MarcoBellocchio,27463
nm0069342,VeraBelmont,477628
nm0069711,LucasBelvaux,108262
nm0069818,HernanBelon,442904
nm0069900,MehdiBenAttia,217998
nm0069930,HassanBenjelloun,353793
nm0070019,SouheilBen-Barka,1227612
nm0070159,JafarPanahi,29313
nm0070436,SteveBendelack,108377
nm0070594,MalikBendjelloul,56006
nm0070899,Jean-PatrickBenes,543764
nm0071117,YaminaBenguigui,336474
nm0072354,DjamelBensalah,609220
nm0072364,FaouziBensaidi,191449
nm0073322,AlainBerberian,664751
nm0073384,EmmanuelleBercot,29549
nm0073873,PeterBerg,12172259
nm0074213,JacobBerger,294040
nm0074311,PabloBerger,13814
nm0074426,BiboBergeron,113240
nm0074844,NirBergman,159805
nm0075528,GregBerlanti,15928
nm0075696,AndreaBerloff,61205
nm0075849,ShariSpringerBerman,25711
nm0076307,LudovicBernard,136581
nm0076349,Patrick-MarioBernard,10195149
nm0076473,SabineBernardi,532787
nm0076646,ClaudeBerne,1030489
nm0076679,DieterBerner,220438
nm0077094,MarcosBernstein,194256
nm0077533,DennisBerry,84831
nm0077622,MarilouBerry,59762
nm0077911,FabienneBerthaud,108666
nm0078363,DianeBertrand,495222
nm0078416,RenaudBertrand,473610
nm0078465,JulieBertuccelli,175294
nm0078704,EricBesnard,85349
nm0080120,ThomasBezucha,37917
nm0080245,Bharathan,95778
nm0081540,SusanneBier,12541
nm0081620,VincentBierrewaerts,5084857
nm0082094,EnkiBilal,131427
nm0082450,PaulFeig,5948
nm0082526,PeterBillingsley,9732
nm0082748,CharlesBiname,256604
nm0083015,ThierryBinisti,190954
nm0083185,SophieBlondy,535977
nm0083228,JeanneBiras,671012
nm0084580,GerardBitton,706215
nm0084585,SimoneBitton,908831
nm0086431,AaronBlaise,46290
nm0086920,ChristopheBlanc,947049
nm0087595,JamieBlanks,28125
nm0088397,BertrandBlier,44931
nm0088589,Jean-PierreBloc,1298940
nm0088955,NeillBlomkamp,4114
nm0089850,LarsBlumers,737685
nm0090215,EdwardBoase,994512
nm0090351,RobertBober,11302781
nm0090386,JamesBobin,23226
nm0090524,DominiqueBoccarossa,3977948
nm0091074,SergeyBodrov,38681
nm0091253,LudiBoeken,97028
nm0091575,PaulBogart,70513
nm0093081,IciarBollain,42295
nm0093252,LuizBolognesi,122984
nm0093934,FredrikBond,115686
nm0094274,BertrandBonello,12789
nm0094435,BongJoonHo,2401
nm0094521,MargauxBonhomme,1076990
nm0094524,IanBonhote,132326
nm0094599,NicolasBonilauri,1680987
nm0094726,PascalBonitzer,127699
nm0094789,SandrineBonnaire,14233
nm0095298,AndreBonzel,186758
nm0096066,JacekBorcuch,323851
nm0096375,SebastianBorensztein,96252
nm0096773,ClaudineBories,1036912
nm0097079,OleBornedal,31163
nm0097517,DerrickBorte,42179
nm0097529,DaveBorthwick,342550
nm0097580,CristianoBortone,163585
nm0097785,RoseBosch,240584
nm0097806,ThierryBoscheron,10061107
nm0098639,CarolineBottaro,453107
nm0098709,JuanDiegoBotto,15186
nm0098867,AhmedBouchaala,7975299
nm0098868,ZakiaTahiri,402675
nm0098953,RachidBouchareb,112779
nm0099084,PatrickBouchitey,91528
nm0099276,FeridBoughedir,193648
nm0099324,LaurentBouhnik,80912
nm0099378,MichelBoujenah,228138
nm0099396,LyeceBoukhitine,1859273
nm0099398,NicolasBoukhrief,147123
nm0099456,AntoinetteBoulat,148362
nm0099521,BouliLanners,42557
nm0099797,PascalBourdiaux,611344
nm0099802,EmmanuelBourdieu,354102
nm0099828,DidierBourdon,43120
nm0099841,GillesBourdos,293169
nm0100175,ManuelBoursinhac,8725775
nm0100365,LaurentBoutonnat,268459
nm0100493,SarahBouyain,2049936
nm0100525,NouriBouzid,692667
nm0100587,XanaeBove,2067722
nm0101047,DavidBowers,67101
nm0101385,RobBowman,26906
nm0102494,TatjanaBozic,897612
nm0102516,SergeBozon,291557
nm0103187,DanBradley,114052
nm0103404,StephenBradley,98766
nm0103785,ZachBraff,1714
nm0104146,JacquesBral,587247
nm0105317,PatrickBraoude,394916
nm0106456,PaddyBreathnach,94461
nm0106924,CatherineBreillat,17432
nm0107655,VinkoBresan,170164
nm0107774,EricBress,57129
nm0107788,JulioBressane,117750
nm0107896,PascaleBreton,13181347
nm0107900,StephaneBreton,360771
nm0108031,LeeBreuer,555123
nm0108094,EricBrevig,85289
nm0108132,CraigBrewer,21600
nm0108497,LucBricault,769121
nm0109885,Jean-ClaudeBrisseau,43435
nm0109910,JoelBrisse,11289653
nm0110300,StephaneBrize,65654
nm0111379,Jean-StephaneBron,305434
nm0111656,PeterBrook,80005
nm0111845,AdamBrooks,28681
nm0112456,PeterBrosens,287631
nm0112963,AlanBrown,12466928
nm0113084,BarryAlexanderBrown,109126
nm0115764,PieterJanBrugge,93002
nm0115825,MatthiasBruhn,1482880
nm0116097,SophieBruneau,2112883
nm0116254,ValeriaBruniTedeschi,21338
nm0116263,FrancescoBruni,280416
nm0117698,DietrichBruggemann,159402
nm0117743,EricBu,783502
nm0117806,JanBubenicek,878984
nm0118333,ChrisBuck,30849
nm0118348,DouglasBuck,150482
nm0119604,BuiThacChuyen,386851
nm0121871,StephenBurke,283211
nm0122184,DanielBurman,161763
nm0122344,CharlesBurnett,50325
nm0123379,NanetteBurstein,105087
nm0123931,JuanPabloBuscarini,483466
nm0125524,JasonBuxton,81510
nm0125803,BobbyFarrelly,9167
nm0125887,BobByington,109229
nm0126598,JiriBarta,192574
nm0126752,LiriaBegeja,1332526
nm0126756,GillesBehat,231089
nm0127009,BettinaBohler,378711
nm0127804,DominiqueCabrera,603918
nm0128159,MargaritaCadenas,214768
nm0128301,IolandeCadrin-Rossignol,766888
nm0128621,JudithCahen,709322
nm0129145,MarionCajori,568800
nm0129997,ClaudioCaligari,176369
nm0132064,BernardCampan,117670
nm0132709,MartinCampbell,9324
nm0133028,RobinCampillo,86131
nm0133326,SebastianLelio,24471
nm0133899,GuillaumeCanet,10125
nm0133981,JoaoCanijo,99263
nm0134176,DannyCannon,37084
nm0134396,HansCanosa,148911
nm0134467,LudovicCantais,6409421
nm0134559,LaurentCantet,49482
nm0134618,MarilyneCanto,118899
nm0135332,AlessandroCapone,279991
nm0136001,EricCaravaca,173993
nm0136021,LeosCarax,17859
nm0136128,JulienCarbon,873692
nm0136255,CarlosCarcas,2033917
nm0136282,LaurentCarceles,8733314
nm0137228,ChristianCarion,61680
nm0137379,PierreCarles,359336
nm0138620,JoeCarnahan,11495
nm0138805,JohnCarney,1759667
nm0138927,NikiCaro,25704
nm0139867,SteveCarr,46743
nm0139982,MartinCarranza,12406307
nm0140638,ChristineCarriere,695884
nm0140641,EricCarriere,7916143
nm0141127,EmmanuelCarrere,131992
nm0141132,PhilippeCarrese,680877
nm0141142,Jean-MichelCarre,1511509
nm0141961,ThomasCarter,29320
nm0142286,D.J.Caruso,15858
nm0142674,CamilledeCasabianca,511872
nm0144812,SergioCastellitto,27642
nm0145033,CarmenCastillo,1866191
nm0145540,FlaviaCastro,381913
nm0146341,PeterCattaneo,47415
nm0146568,YvesCaumon,648009
nm0146637,BriceCauvin,719026
nm0146760,AlainCavalier,102129
nm0146991,FredCavaye,66218
nm0147389,FabriceCazeneuve,1260461
nm0147544,IditCebula,1252264
nm0147737,JosephCedar,76721
nm0148511,NachoCerda,143901
nm0149196,NuriBilgeCeylan,8839
nm0149446,GurinderChadha,25403
nm0149491,JustinChadwick,31460
nm0149594,PatriceChagnard,9671077
nm0149631,YoussefChahine,44848
nm0150802,BennyChan,70324
nm0150906,GordonChan,116658
nm0151066,PeterHo-SunChan,62199
nm0151125,TeddyChan,178424
nm0151540,JayChandrasekhar,5386
nm0151733,JinJang,456389
nm0152790,LaurentCharbonnier,258496
nm0152831,MehdiCharef,871592
nm0152916,LefterisCharitos,204993
nm0153078,LarryCharles,10722
nm0153265,AlexandreCharlot,373608
nm0153456,FrancoiseCharpiat,448720
nm0153499,YohannCharrin,474873
nm0154055,EtienneChatiliez,177426
nm0154312,PascalChaumeil,191264
nm0154385,PhilippedeChauveron,211779
nm0154716,StephenChbosky,21380
nm0155093,PeterChelsom,34774
nm0155528,YarrowCheney,320317
nm0155683,ChadChenouga,581163
nm0156694,LaurentChevallier,758380
nm0157145,MalikChibane,915369
nm0157185,BrunoChiche,203676
nm0157345,BenoitChieux,291549
nm0157367,FredericChignac,12605170
nm0158857,TsaiMing-liang,24908
nm0158903,DominiqueChoisy,887383
nm0158923,NetenChokling,738381
nm0158966,LisaCholodenko,27793
nm0158984,SylvainChomet,38381
nm0159147,AdityaChopra,30611
nm0159175,AlainChoquart,3315152
nm0159318,LaurentChouchan,1585964
nm0159402,ElieChouraqui,154640
nm0159900,ShawnChristensen,57881
nm0160602,MarkChristopher,105690
nm0160840,JonM.Chu,1154
nm0161152,OxideChunPang,103948
nm0161717,PatriceChereau,50306
nm0161797,AngeloCianci,12198798
