ID_film;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;scen_4;score_disctrib;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;budegt_dollars;premiere_semaine_france
1317;Vivre!;AymericCormerais;Jean-JacquesLeVessier;GaelTanniou;LydieWai;YvonMarciano;;;YvonMarciano;;;;0,01105;Comedie dramatique;;;;;;;France;7;10;2009;2;1,9;103;;3012
2314;Pasazerka;AnnaCiepielewska;AleksandraSlaska;JanKreczmar;MarekWalczewski;AndrzejMunk;WitoldLesiewicz;;ZofiaPosmysz;AndrzejMunk;ZofiaPosmysz;;0,01083;Drame;;;;;;;Autre;28;10;1964;2;4,6;62;;1420
3239;TheLodger:AStoryoftheLondonFog;MarieAult;ArthurChesney;ReginaldGardiner;AlfredHitchcock;AlfredHitchcock;;;EliotStannard;AlfredHitchcock;MarieBellocLowndes;;0,01354;Policier; Drame;;;;;;Autre;17;11;2010;2;5;79;15240;615
4389;SaoBernardo;RodolfoArena;OthonBastos;LuizCarlosBraga;JosefGuerreiro;LeonHirszman;;;LeonHirszman;GracilianoRamos;;;0,01328;Drame;;;;;;;Autre;11;6;2014;2;4,3;113;;156
5134;ElOtroCristobal;JeanBouise;AldenKnight;BertinaAcevedo;PierreChaussat;ArmandGatti;;;ArmandGatti;AdamUlrych;;;0,01423;Fantastique;;;;;;;Autre;18;9;2019;2;4;115;;436
5598;TorchSongTrilogy;AnneBancroft;MatthewBroderick;HarveyFierstein;BrianKerwin;PaulBogart;;;HarveyFierstein;HarveyFierstein;;;0,01354;Comedie dramatique;;;;;;;USA;2;5;1990;2;4;120;4865997;661
5818;Titanic;LeonardoDiCaprio;KateWinslet;BillyZane;KathyBates;JamesCameron;;;JamesCameron;;;;0,02489;Drame; Romance;;;;;;USA;7;1;1998;2;4,9;194;200000000;498212
5847;OctobreaParis;;;;;JacquesPanijel;;;;;;;0,01144;Documentaire;;;;;;;France;19;10;2011;2;3,8;70;;1651
6318;L'Enfer;EmmanuelleBeart;KarinViard;MarieGillain;CaroleBouquet;DanisTanovic;;;KryzsztofPiesiewicz;KrzysztofKieslowski;KryzsztofPiesiewicz;;0,01427;Drame;;;;;;;France;30;11;2005;2;2,2;95;595618;43689
6328;Anna;AnnaKarina;Jean-ClaudeBrialy;SergeGainsbourg;MarianneFaithfull;PierreKoralnik;;;PierreKoralnik;Jean-LoupDabadie;;;0,01083;Comedie musicale; Romance;;;;;;France;13;1;1967;4;4;87;;1417
6450;Tellmelies;MarkJones;RobertLloyd;GlendaJackson;EricAllan;PeterBrook;;;PeterBrook;MichaelKustow;MichaelScott(III);;0,02281;Drame;;;;;;;Autre;10;10;2012;2;3,8;108;;3901
6615;Grazuole;IngaMickyte;LilijaZhadeikyte;ArvidasSamukas;TaurasRagalevicius;ArunasZebriunas;;;JurijusJakovlevas;;;;0,01423;Comedie dramatique;;;;;;;Autre;22;8;2018;2;3,9;65;;1200
7118;Lesconvoyeursattendent;BenoitPoelvoorde;DominiqueBayens;BouliLanners;MorganeSimon;BenoitMariage;;;BenoitMariage;EmmanuelleBada;Jean-LucSeigle;;0,02158;Comedie dramatique;;;;;;;Autre;15;9;1999;2;3,5;94;5518;52649
8037;Grandeuretdecadenced'unpetitcommercedecinema;Jean-PierreLeaud;Jean-PierreMocky;CarolineChampetier;NathalieRichard;Jean-LucGodard;;;JamesHadleyChase;Jean-LucGodard;;;0,02175;Policier;;;;;;;Autre;4;10;2017;2;4;91;;1503
8615;Hanyo;Eun-shimLee;Jeung-nyeoJu;JinKyuKim;Sung-keeAhn;KimKi-Young;;;KimKi-Young;;;;0,01354;Drame; Epouvante-horreur;;;;;;Autre;15;8;2012;2;4,1;111;;6481
8727;2/dyuo;YuEri;HidetoshiNishijima;OtaniKenjiro;YamamotoMiyuki;NobuhiroSuwa;;;;;;;0,01128;Drame;;;;;;;Autre;31;10;2012;2;3,9;90;;1513
9906;Happy-Go-Lucky;SallyHawkins;AlexisZegerman;AndreaRiseborough;SineadMatthews;MikeLeigh;;;MikeLeigh;;;;0,01548;Comedie;;;;;;;Autre;27;8;2008;2;3,9;118;3512016;110442
10675;Cornouaille;VanessaParadis;SamuelLeBihan;JonathanZaccai;LaurentStocker;AnneLeNy;;;AnneLeNy;LucBeraud;;;0,02266;Drame;;;;;;;France;15;8;2012;2;3;96;6480000;128162
10862;TheLionKing;;;;;RogerAllers;RobMinkoff;;JimCapobianco;IreneMecchi;LindaWoolverton;;0,02489;Aventure; Animation; Famille; Comedie musicale;;;;USA;23;11;1994;2;3,4;89;45000000;210904
11276;Parc;Jean-MarcBarr;SergiLopez;NathalieRichard;DelphineChuillot;ArnauddesPallieres;;;ArnauddesPallieres;JohnCheever;;;0,02467;Drame;;;;;;;France;14;1;2009;2;2,8;109;3070853,64;4012
11295;BillyElliot;JamieBell;JulieWalters;GaryLewis;JamieDraven;StephenDaldry;;;LeeHall;;;;0,01485;Comedie dramatique;;;;;;;Autre;20;12;2000;2;3,7;110;5000000;257958
11681;Imagesdefemmesoulecorsetsocial;CatherineBreillat;SharonStone;Lio;CatherineDeneuve;Jean-FrancoisFerrillon;;;Jean-FrancoisFerrillon;;;;0,00526;Documentaire;;;;;;;France;5;1;2011;2;2,2;80;;531
