ID,actors_score,directors_score,scenaristes_score,distrib_score,Action,Animation,Aventure,Biopic,Comedie,Comedie dramatique,Comedie musicale,Drame,Epouvante-horreur,Famille,Fantastique,Guerre,Historique,Musical,Policier,Romance,Science Fiction,Thriller,Western,France,USA,Angleterre,Autres,jour_sortie,mois_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,budget_dollars
293378,0.135466337,1.055201114,0.0,0.01473,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,4,2,2.0,99,228318,1
270572,0.4556206,1.125523613,0.14174049,0.01495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,3,3.1,171,10072,1
246253,0.559547688,1.983822246,0.978035155,0.00998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,5,2,3.5,76,23197,2
280918,0.632421644,1.379568948,0.43738058,0.01664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,6,2,1.5,85,55577,4
231408,0.649734748,1.254193973,0.271973717,0.02973,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,12,2,4.5,138,108185,5
310521,0.459391767,1.840676259,0.905898569,0.02466,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,11,2,2.9,115,15017,6
255377,0.435826588,1.442153848,0.484186619,0.02284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16,8,2,3.9,187,849,8
262339,0.04853184,0.883555788,0.0,0.01384,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,2,1.3,96,3443,8
225102,0.541262717,1.436921677,0.469827288,0.04368,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,28,10,2,2.5,107,88390,11
227268,0.443473392,0.995416593,0.108447687,0.01423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,8,2,3.6,103,11000,12
135521,0.117419062,1.587938023,0.619255474,0.01427,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,27,1,2,4.4,130,23745,16
221654,0.604037619,1.224289742,0.373053095,0.02266,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,9,2,3.6,101,130241,26
139849,0.243764646,1.220814573,0.0,0.01422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1,2,3.3,83,2084,42
266103,0.628662658,1.19958242,0.259517633,0.02338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,2,3.3,97,187681,58
216633,0.650282917,1.697265989,0.738386742,0.02846,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,2,2,4.0,119,263105,67
