ID,Action,Animation,Aventure,Biopic,Comedie,Comedie dramatique,Comedie musicale,Drame,Epouvante-horreur,Famille,Fantastique,Guerre,Historique,Musical,Policier,Romance,Science Fiction,Thriller,Western
1317,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2314,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3239,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4389,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5818,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6450,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8615,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8727,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9906,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10862,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12791,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12958,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13602,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15681,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16591,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17393,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17952,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
17965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18477,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
18478,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18524,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18598,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
18671,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18832,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19280,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
19403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
19430,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19439,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
19483,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20151,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20153,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20290,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20350,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20381,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20391,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20395,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20490,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
20502,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20537,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20544,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20754,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21382,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22015,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22092,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22758,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23354,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24252,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
25751,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25756,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26157,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
26287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26389,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
26404,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26533,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
26706,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26730,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26781,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26823,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
26825,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26832,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
26833,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26835,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
26839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26849,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
26851,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26855,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26858,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26861,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26862,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26863,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26871,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
26880,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
26882,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26884,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27022,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27042,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27044,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27046,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27049,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27050,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
27052,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
27061,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
27062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27063,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
27067,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27070,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27415,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
27416,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27417,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
27429,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
27430,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27431,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27432,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27433,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27434,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27435,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
27437,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
27438,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27440,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27443,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
27444,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
27445,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
27446,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27550,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27553,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27763,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27764,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
27765,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27770,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27775,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
27777,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27791,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27792,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
27793,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27920,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27993,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
28113,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28175,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
28244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28254,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28355,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28356,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28359,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28363,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
28367,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28368,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28369,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
28384,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28389,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28401,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28417,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28418,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28420,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28423,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28427,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28430,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28439,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28446,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28447,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28469,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
28470,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28472,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28474,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28478,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
28493,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
28494,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28501,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28504,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28512,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28515,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
28522,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
28524,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28531,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28537,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28548,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
28555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28560,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28569,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28572,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28578,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28596,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
28602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28605,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28615,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
28622,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28627,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
28628,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28629,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28644,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28654,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28655,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28657,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28658,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28673,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28677,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28682,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
28685,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
28687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
28691,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28695,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28731,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28759,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28760,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28768,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
28772,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28773,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28784,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28787,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28789,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28795,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28811,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28817,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28821,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28824,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28829,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28830,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28835,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
28837,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28843,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28846,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
28852,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28869,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28874,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28884,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
