ID,France,USA,GB,Autre_pays
1317,True,False,False,False
2314,False,False,False,True
3239,False,False,True,False
4389,False,False,False,True
5134,False,False,False,True
5598,False,False,False,True
5818,False,False,False,True
5847,True,False,False,False
6318,True,False,False,False
6328,True,False,False,False
6450,False,False,True,False
6615,False,False,False,True
7118,False,False,False,True
8037,False,False,False,True
8615,False,False,False,True
8727,False,False,False,True
9906,False,False,True,False
10675,True,False,False,False
10862,False,False,False,True
11276,True,False,False,False
11295,False,False,True,False
11681,True,False,False,False
11746,False,False,False,True
12128,False,False,False,True
12791,False,False,False,True
12958,False,False,False,True
13182,True,False,False,False
13602,False,False,False,True
15112,False,False,False,True
15681,True,False,False,False
16591,False,False,False,True
17344,True,False,False,False
17393,True,False,False,False
17952,False,False,True,False
17965,False,False,False,True
18477,False,False,False,True
18478,False,False,False,True
18524,False,False,False,True
18598,False,False,False,True
18671,False,False,False,True
18832,True,False,False,False
19170,True,False,False,False
19174,True,False,False,False
19184,False,False,False,True
19280,False,False,True,False
19403,False,False,False,True
19430,True,False,False,False
19439,False,False,False,True
19483,False,False,False,True
19881,True,False,False,False
20151,True,False,False,False
20153,False,False,False,True
20287,False,False,False,True
20290,False,False,False,True
20350,True,False,False,False
20381,False,False,False,True
20391,False,False,False,True
20395,False,False,False,True
20445,True,False,False,False
20490,False,False,True,False
20498,False,False,False,True
20502,False,False,True,False
20537,False,False,False,True
20544,True,False,False,False
20754,False,False,False,True
21382,False,False,False,True
22015,False,False,False,True
22092,False,False,False,True
22114,False,False,False,True
22758,True,False,False,False
23147,True,False,False,False
23245,True,False,False,False
23283,True,False,False,False
23354,False,False,False,True
24252,True,False,False,False
25453,False,False,False,True
25751,True,False,False,False
25756,False,False,False,True
25857,True,False,False,False
26157,True,False,False,False
26287,False,False,False,True
26389,True,False,False,False
26404,True,False,False,False
26533,False,False,False,True
26561,False,False,False,True
26706,False,False,False,True
26730,False,False,False,True
26781,True,False,False,False
26823,False,False,False,True
26825,False,False,False,True
26832,True,False,False,False
26833,False,False,False,True
26835,False,False,False,True
26839,False,False,False,True
26840,False,False,False,True
26849,False,False,False,True
26851,True,False,False,False
26854,False,False,False,True
26855,False,False,False,True
26857,False,False,False,True
26858,False,False,True,False
26861,False,False,False,True
26862,False,False,False,True
26863,False,False,False,True
26866,False,False,False,True
26871,False,False,False,True
26880,False,False,False,True
26882,True,False,False,False
26884,False,False,False,True
26885,False,False,False,True
26889,False,False,False,True
27022,False,False,False,True
27042,False,False,False,True
27044,True,False,False,False
27046,False,False,False,True
27049,False,False,False,True
27050,False,False,False,True
27052,False,False,True,False
27061,False,False,False,True
27062,False,False,False,True
27063,True,False,False,False
27067,False,False,False,True
27070,False,False,False,True
27244,False,False,False,True
27405,False,False,False,True
27415,False,False,False,True
27416,False,False,False,True
27417,False,False,False,True
27429,False,False,False,True
27430,False,False,False,True
27431,False,False,False,True
27432,False,False,False,True
27433,False,False,False,True
27434,False,False,False,True
27435,True,False,False,False
27437,False,False,False,True
27438,True,False,False,False
27440,False,False,False,True
27441,False,False,False,True
27443,False,False,False,True
27444,False,False,False,True
27445,False,False,False,True
27446,True,False,False,False
27448,False,False,True,False
27549,False,False,False,True
27550,True,False,False,False
27551,False,False,False,True
27552,False,False,False,True
27553,False,False,False,True
27555,True,False,False,False
27763,False,False,False,True
27764,True,False,False,False
27765,False,False,False,True
27770,False,False,False,True
27774,True,False,False,False
27775,False,False,False,True
27777,False,False,False,True
27791,False,False,True,False
27792,False,False,False,True
27793,True,False,False,False
27920,True,False,False,False
27936,True,False,False,False
27993,True,False,False,False
28104,True,False,False,False
28109,False,False,False,True
28111,True,False,False,False
28113,True,False,False,False
28115,True,False,False,False
28175,True,False,False,False
28235,False,False,False,True
28244,True,False,False,False
28254,True,False,False,False
28293,True,False,False,False
28355,False,False,False,True
28356,False,False,False,True
28359,True,False,False,False
28363,False,False,False,True
28367,False,False,False,True
28368,True,False,False,False
28369,True,False,False,False
28374,True,False,False,False
28377,False,False,False,True
28384,False,False,False,True
28388,False,False,False,True
28389,True,False,False,False
28401,True,False,False,False
28417,False,False,False,True
28418,False,False,False,True
28420,False,False,False,True
28423,True,False,False,False
28427,False,False,False,True
28430,False,False,False,True
28439,True,False,False,False
28446,True,False,False,False
28447,True,False,False,False
28469,False,False,True,False
28470,False,False,False,True
28472,True,False,False,False
28474,True,False,False,False
28478,False,False,False,True
28493,False,False,False,True
28494,False,False,False,True
28501,False,False,False,True
28504,False,False,False,True
28510,False,False,False,True
28512,False,False,False,True
28515,False,False,True,False
28519,False,False,False,True
28522,False,False,False,True
28524,True,False,False,False
28531,False,False,False,True
28537,True,False,False,False
28538,False,False,False,True
28540,False,False,False,True
28541,False,False,False,True
28546,False,False,False,True
28548,True,False,False,False
28555,False,False,False,True
28560,False,False,False,True
28561,True,False,False,False
28569,False,False,False,True
28572,False,False,False,True
28578,False,False,False,True
28596,False,False,False,True
28602,False,False,False,True
28603,False,False,False,True
28605,True,False,False,False
28615,False,False,False,True
28622,False,False,False,True
28627,True,False,False,False
28628,False,False,False,True
28629,False,False,False,True
28644,False,False,False,True
28654,False,False,False,True
28655,True,False,False,False
28657,False,False,False,True
28658,False,False,False,True
28673,True,False,False,False
28677,True,False,False,False
28682,False,False,False,True
28685,False,False,False,True
28687,False,False,False,True
28691,True,False,False,False
28695,True,False,False,False
28712,True,False,False,False
28714,True,False,False,False
28728,False,False,False,True
28729,False,False,False,True
28731,False,False,False,True
28756,False,False,False,True
28759,False,False,False,True
28760,False,False,False,True
28768,False,False,False,True
28771,False,False,False,True
28772,False,False,False,True
28773,False,False,False,True
28775,False,False,False,True
28778,True,False,False,False
28784,False,False,False,True
28787,False,False,False,True
28789,False,False,False,True
28795,False,False,False,True
28798,False,False,False,True
28802,False,False,False,True
28811,True,False,False,False
28817,False,False,False,True
28821,True,False,False,False
28824,False,False,False,True
28829,False,False,False,True
28830,True,False,False,False
28834,True,False,False,False
28835,False,False,False,True
28837,True,False,False,False
28842,True,False,False,False
28843,False,False,False,True
28846,False,False,True,False
28852,True,False,False,False
28869,False,False,False,True
28874,False,False,False,True
28875,False,False,False,True
28882,True,False,False,False
28884,True,False,False,False
28887,False,False,False,True
28892,True,False,False,False
28904,False,False,False,True
28906,True,False,False,False
28914,False,False,False,True
28915,False,False,False,True
28918,True,False,False,False
28919,False,False,False,True
28920,False,False,False,True
28921,False,False,False,True
28927,True,False,False,False
28930,False,False,False,True
28931,False,False,False,True
28933,False,False,False,True
28936,True,False,False,False
28937,False,False,False,True
28938,False,False,False,True
28941,False,False,False,True
28948,False,False,False,True
28953,True,False,False,False
28954,False,False,False,True
28958,False,False,False,True
28963,False,False,False,True
28967,False,False,False,True
28968,False,False,True,False
28977,True,False,False,False
28981,False,False,False,True
28983,False,False,False,True
28999,False,False,False,True
29002,True,False,False,False
29004,False,False,True,False
29005,False,False,False,True
29006,False,False,False,True
29007,False,False,False,True
29008,False,False,False,True
29014,False,False,False,True
29023,True,False,False,False
29024,False,False,False,True
29025,True,False,False,False
29027,False,False,False,True
29039,False,False,False,True
29044,True,False,False,False
29057,False,False,False,True
29062,False,False,False,True
29063,False,False,False,True
29064,True,False,False,False
29065,False,False,False,True
29068,False,False,False,True
29069,False,False,True,False
29071,False,False,False,True
29072,True,False,False,False
29078,True,False,False,False
29082,False,False,False,True
29085,False,False,True,False
29087,False,False,False,True
29104,True,False,False,False
29113,False,False,False,True
29117,False,False,False,True
29126,False,False,False,True
29131,True,False,False,False
29137,False,False,True,False
29138,True,False,False,False
29139,False,False,False,True
29140,False,False,False,True
29144,False,False,False,True
29146,False,False,False,True
29150,False,False,False,True
29156,False,False,False,True
29157,False,False,False,True
29162,False,False,False,True
29166,True,False,False,False
29167,False,False,False,True
29168,False,False,False,True
29173,False,False,False,True
29175,False,False,False,True
29179,True,False,False,False
29188,False,False,False,True
29189,False,False,False,True
29194,True,False,False,False
29196,True,False,False,False
29197,True,False,False,False
29202,False,False,False,True
29207,False,False,False,True
29208,False,False,False,True
29217,True,False,False,False
29222,True,False,False,False
29225,False,False,False,True
29232,False,False,False,True
29233,False,False,False,True
29240,False,False,False,True
29242,False,False,False,True
29251,True,False,False,False
29252,True,False,False,False
29253,False,False,True,False
29260,False,False,False,True
29264,True,False,False,False
29270,True,False,False,False
29274,False,False,False,True
29275,False,False,False,True
29276,False,False,False,True
29277,True,False,False,False
29279,False,False,False,True
29280,False,False,False,True
29284,False,False,False,True
29290,True,False,False,False
29291,False,False,False,True
29294,False,False,False,True
29295,False,False,False,True
29296,False,False,False,True
29298,False,False,False,True
29302,False,False,False,True
29304,False,False,False,True
29306,True,False,False,False
29307,False,False,False,True
29310,True,False,False,False
29314,False,False,False,True
29322,False,False,False,True
29342,False,False,False,True
29345,False,False,False,True
29347,True,False,False,False
29358,True,False,False,False
29362,False,False,False,True
29366,True,False,False,False
29368,True,False,False,False
29370,True,False,False,False
29371,False,False,False,True
29378,True,False,False,False
29387,True,False,False,False
29718,False,False,False,True
29806,True,False,False,False
29808,True,False,False,False
29943,False,False,False,True
29965,True,False,False,False
30095,True,False,False,False
30318,False,False,False,True
31057,False,False,False,True
31733,False,False,True,False
31992,True,False,False,False
32239,False,False,False,True
32253,False,False,False,True
32282,False,False,False,True
32333,False,False,False,True
32458,False,False,True,False
32488,True,False,False,False
32517,True,False,False,False
32547,False,False,False,True
32630,False,False,False,True
32636,True,False,False,False
32678,False,False,False,True
32701,True,False,False,False
32704,False,False,False,True
32785,False,False,True,False
32941,False,False,False,True
33339,False,False,False,True
33436,False,False,False,True
33464,False,False,False,True
33465,False,False,False,True
33468,True,False,False,False
33586,True,False,False,False
33878,True,False,False,False
33888,False,False,False,True
33900,False,False,False,True
33904,False,False,False,True
33905,False,False,False,True
33907,False,False,False,True
33926,False,False,False,True
33963,True,False,False,False
33997,True,False,False,False
34001,True,False,False,False
34132,False,False,False,True
34176,False,False,False,True
34191,True,False,False,False
34194,True,False,False,False
34197,False,False,False,True
34207,False,False,False,True
34437,False,False,False,True
34471,True,False,False,False
34498,True,False,False,False
34499,True,False,False,False
34503,False,False,False,True
34509,False,False,False,True
34512,False,False,False,True
34517,False,False,False,True
34535,False,False,False,True
34557,False,False,False,True
34584,True,False,False,False
34680,False,False,False,True
34833,False,False,False,True
34877,True,False,False,False
34906,True,False,False,False
34916,True,False,False,False
34917,False,False,False,True
34925,True,False,False,False
34927,True,False,False,False
34960,False,False,False,True
34961,False,False,False,True
35097,False,False,True,False
35106,False,False,False,True
35109,True,False,False,False
35120,True,False,False,False
35122,True,False,False,False
35139,False,False,False,True
35142,False,False,False,True
35143,False,False,False,True
35144,False,False,True,False
35146,False,False,False,True
35156,True,False,False,False
35157,False,False,False,True
35158,False,False,False,True
35366,False,False,False,True
35370,True,False,False,False
35375,True,False,False,False
35379,True,False,False,False
35384,False,False,False,True
35535,False,False,False,True
35537,False,False,False,True
35725,False,False,False,True
35784,False,False,False,True
35891,False,False,False,True
35946,False,False,False,True
35962,True,False,False,False
35966,False,False,False,True
35968,True,False,False,False
35973,False,False,False,True
35990,True,False,False,False
35996,True,False,False,False
36114,False,False,False,True
36127,False,False,False,True
36283,True,False,False,False
36284,False,False,False,True
36285,True,False,False,False
36287,True,False,False,False
36313,True,False,False,False
36318,False,False,False,True
36416,False,False,False,True
36725,True,False,False,False
36806,False,False,True,False
36807,False,False,False,True
36817,False,False,False,True
37256,False,False,False,True
37485,False,False,False,True
37643,False,False,False,True
37967,True,False,False,False
38254,True,False,False,False
38825,True,False,False,False
38826,False,False,False,True
38890,False,False,False,True
38983,False,False,False,True
39128,False,False,False,True
39132,True,False,False,False
39160,False,False,False,True
39178,False,False,False,True
39186,False,False,False,True
39187,False,False,False,True
39500,False,False,False,True
39775,True,False,False,False
39801,False,False,False,True
39811,False,False,False,True
40020,False,False,False,True
40132,False,False,False,True
40133,False,False,False,True
40137,False,False,False,True
40139,False,False,False,True
40141,False,False,False,True
40191,False,False,False,True
40222,False,False,False,True
40619,False,False,False,True
40623,False,False,False,True
40627,True,False,False,False
40629,False,False,False,True
40772,True,False,False,False
40869,False,False,False,True
40879,False,False,False,True
40882,False,False,False,True
40884,False,False,False,True
41005,False,False,False,True
41010,False,False,False,True
41011,False,False,False,True
41110,False,False,False,True
41134,False,False,False,True
41230,True,False,False,False
41232,True,False,False,False
41236,False,False,False,True
41239,False,False,False,True
41241,False,False,False,True
41244,False,False,False,True
