,nom,nconst
1238,IngmarBergman,nm0000005
2,AlfredHitchcock,nm0000033
67,StanleyKubrick,nm0000040
517,GerardPires,nm0000091
458,WoodyAllen,nm0000095
742,LucBesson,nm0000108
106,KennethBranagh,nm0000110
1612,SteveBuscemi,nm0000114
6,JamesCameron,nm0000116
303,GeorgeClooney,nm0000123
726,WesCraven,nm0000127
483,ClintEastwood,nm0000142
5033,RalphFiennes,nm0000146
2104,JodieFoster,nm0000149
685,MelGibson,nm0000154
979,TommyLeeJones,nm0000169
70,GeorgeLucas,nm0000184
252,DavidLynch,nm0000186
338,MartinScorsese,nm0000217
40,StevenSpielberg,nm0000229
768,OliverStone,nm0000231
3658,DenzelWashington,nm0000243
93,JohnWoo,nm0000247
243,PedroAlmodovar,nm0000264
370,RobertAltman,nm0000265
429,Jean-JacquesAnnaud,nm0000269
1526,FannyArdant,nm0000272
4650,PernillaAugust,nm0000278
244,TimBurton,nm0000318
124,FrancisFordCoppola,nm0000338
344,DavidCronenberg,nm0000343
51,BrianDePalma,nm0000361
377,DannyDeVito,nm0000362
968,AtomEgoyan,nm0000382
634,RolandEmmerich,nm0000386
1249,EmilioEstevez,nm0000389
389,DavidFincher,nm0000399
15,Jean-LucGodard,nm0000419
3707,ValeriaGolino,nm0000420
2483,PeterGreenaway,nm0000425
104,TaylorHackford,nm0000431
548,CurtisHanson,nm0000436
1484,EdHarris,nm0000438
1032,JimJarmusch,nm0000464
127,Jean-PierreJeunet,nm0000466
2409,JohnLandis,nm0000484
478,AngLee,nm0000487
578,SpikeLee,nm0000490
671,RichardLinklater,nm0000500
914,TerrenceMalick,nm0000517
386,DavidMamet,nm0000519
179,MichaelMann,nm0000520
1286,SophieMarceau,nm0000521
375,AlanParker,nm0000570
380,SeanPenn,nm0000576
6709,JosephL.Mankiewicz,nm0000581
686,WolfgangPetersen,nm0000583
59,RomanPolanski,nm0000591
36,RobertRedford,nm0000602
1617,FredSavage,nm0000625
840,JohnSayles,nm0000626
151,RidleyScott,nm0000631
1012,PaulVerhoeven,nm0000682
843,JohnWaters,nm0000691
731,WimWenders,nm0000694
6235,RobinWright,nm0000705
159,RobertZemeckis,nm0000709
547,JonAmiel,nm0000750
444,PaulThomasAnderson,nm0000759
740,MichelangeloAntonioni,nm0000774
341,MichaelApted,nm0000776
1072,GreggAraki,nm0000777
813,DenysArcand,nm0000780
3915,AsiaArgento,nm0000782
2683,DarioArgento,nm0000783
657,OlivierAssayas,nm0000801
1304,BilleAugust,nm0000806
2323,DanielAuteuil,nm0000809
593,RogerAvary,nm0000812
946,JonAvnet,nm0000816
434,Jean-MarcBarr,nm0000852
2204,BrunoBarreto,nm0000853
736,NoahBaumbach,nm0000876
136,MichaelBay,nm0000881
327,HaroldBecker,nm0000887
160,Jean-JacquesBeineix,nm0000894
490,RobertoBenigni,nm0000905
