ID	actors_score	directors_score	score_scenaristes	score_distrib	Action	Animation	Aventure	Biopic	Comedie	Comedie dramatique	Comedie musicale	Drame	Epouvante-horreur	Famille	Fantastique	Guerre	Historique	Musical	Policier	Romance	Science Fiction	Thriller	Western	France	USA	Angleterre	Autres	jour_sortie	mois_sortie	annee_sortie	day_of_week_sortie	note_presse	duree	premiere_semaine_france	Budget_dollards
293378	0,14	1,06	0,00	0,01	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	20.0	4.0	2022,00	2,00	2.0	99.0	228318,00	1,00
270572	0,46	1,13	0,14	0,01	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	10.0	1.0	2019,00	3,00	3.1	171.0	10072,00	1,00
246253	0,56	1,98	0,98	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	31.0	5.0	2017,00	2,00	3.5	76.0	23197,00	2,00
280918	0,63	1,38	0,44	0,02	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	22.0	6.0	2022,00	2,00	1.5	85.0	55577,00	4,00
231408	0,65	1,25	0,27	0,03	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	14.0	12.0	2016,00	2,00	4.5	138.0	108185,00	5,00
310521	0,46	1,84	0,91	0,02	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	22.0	11.0	2023,00	2,00	2.9	115.0	15017,00	6,00
255377	0,44	1,44	0,48	0,02	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	1,00	16.0	8.0	2023,00	2,00	3.9	187.0	849,00	8,00
262339	0,05	0,88	0,00	0,01	0,00	0,00	0,00	1,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	22.0	1.0	2020,00	2,00	1.3	96.0	3443,00	8,00
225102	0,54	1,44	0,47	0,04	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	1,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	1,00	28.0	10.0	2015,00	2,00	2.5	107.0	88390,00	11,00
227268	0,44	1,00	0,11	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	26.0	8.0	2015,00	2,00	3.6	103.0	11000,00	12,00
135521	0,12	1,59	0,62	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	1,00	27.0	1.0	2010,00	2,00	4.4	130.0	23745,00	16,00
221654	0,60	1,22	0,37	0,02	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	23.0	9.0	2015,00	2,00	3.6	101.0	130241,00	26,00
139849	0,24	1,22	0,00	0,01	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	28.0	1.0	2009,00	2,00	3.3	83.0	2084,00	42,00
266103	0,63	1,20	0,26	0,02	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	4.0	3.0	2020,00	2,00	3.3	97.0	187681,00	58,00
216633	0,65	1,70	0,74	0,03	0,00	0,00	0,00	0,00	1,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	25.0	2.0	2015,00	2,00	4.0	119.0	263105,00	67,00
221280	0,11	1,53	0,60	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	26.0	6.0	2013,00	2,00	2.6	93.0	152,00	76,00
238215	0,69	0,45	0,17	0,01	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	16.0	8.0	2017,00	2,00	2.5	95.0	914,00	108,00
241991	0,43	1,71	0,79	0,02	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	9.0	3.0	2016,00	2,00	3.3	97.0	1333,00	118,00
262149	0,18	0,97	0,03	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	15.0	5.0	2019,00	2,00	2.7	118.0	406,00	122,00
273171	0,45	1,15	0,18	0,02	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	20.0	10.0	2021,00	2,00	2.8	92.0	763,00	152,00
290161	0,46	1,19	0,22	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	2.0	3.0	2022,00	2,00	3.0	100.0	334,00	162,00
191450	0,00	0,23	0,00	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	27.0	4.0	2011,00	2,00	3.2	85.0	1662,00	180,00
184372	0,00	1,05	0,20	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	10.0	11.0	2010,00	2,00	2.6	120.0	6032,00	185,00
294002	0,00	0,37	0,00	0,02	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	20.0	10.0	2021,00	2,00	3.2	90.0	295,00	199,00
286141	0,27	1,02	0,03	0,02	0,00	0,00	0,00	0,00	1,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	13.0	4.0	2022,00	2,00	2.9	90.0	414,00	200,00
138473	0,55	1,35	0,30	0,03	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	1,00	0,00	0,00	10.0	10.0	2018,00	2,00	1.8	112.0	941871,00	200,00
209174	0,00	1,26	0,23	0,03	0,00	1,00	1,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	15.0	4.0	2015,00	2,00	3.2	94.0	311292,00	200,00
228466	0,13	1,18	0,24	0,03	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	28.0	1.0	2015,00	2,00	3.8	91.0	12564,00	200,00
264010	0,33	0,00	0,00	0,02	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	5.0	9.0	2018,00	2,00	3.8	80.0	32198,00	216,00
236404	0,41	0,99	0,02	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	24.0	2.0	2016,00	2,00	3.1	83.0	106,00	216,00
197998	0,00	0,43	0,00	0,01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	0,00	9.0	11.0	2011,00	2,00	2.9	87.0	449,00	216,00
