ID;annee;titre;premiere_semaine;budget
390;2006;An Inconvenient Truth;106349;1000000
611;2006;Deep Sea 3D;3286;1000000
873;2004;Binjip (3-Iron);32655;1000000
876;2005;Transamerica;47138;1000000
948;2005;Factotum;15075;1000000
1666;2003;Last Party 2000;4214;1000000
1904;2002;Space Station;4253;1000000
2294;2001;Sidewalks of New York;20409;1000000
11185;2005;9 Songs;15229;1000000
11202;2010;Ajami;51324;1000000
11908;2010;Blue Valentine;32527;1000000
12434;2012;The Devil Inside;224167;1000000
12631;2011;The Mill and the Cross;22606;1000000
12759;2012;Serbuan maut (The Raid: Redemption);117503;1000000
13090;2012;The Sessions;14061;1000000
13681;2013;20 Feet from Stardom;5271;1000000
14988;2014;Citizenfour;20796;1000000
15128;2015;Unfriended;141546;1000000
15708;2016;The Witch;58580;1000000
17291;2017;An Inconvenient Sequel: Truth to Power;15014;1000000
17350;2017;Patti Cake$;30237;1000000
18190;2018;Unfriended: Dark Web;103423;1000000
1218;2004;Clara et moi;61905;1080000
12184;2011;La Grotte des rêves perdus;28177;1080000
14336;2014;La Chambre bleue;52453;1080000
15159;2015;Les Châteaux de sable;40910;1080000
16785;2017;I am Not Your Negro;19347;1080000
16981;2017;Une vie ailleurs;20654;1080000
16984;2017;Pris de court;25112;1080000
17536;2017;Jeune femme;47593;1080000
10548;2008;J'irai dormir à Hollywood;109484;1083796,2
21834;2022;Rosy;14480;1090800
9713;2007;Et toi, t'es sur qui ?;34191;1106069,04
1762;2002;Etre et avoir;160337;1112400
18022;2006;Bled Number one;21049;1123200
15187;2015;La Sapienza;11054;1134000
946;2005;Darshan;9330;1144800
11231;2010;Solutions locales pour un désordre global;38166;1177200
1624;2003;Mes enfants ne sont pas comme les autres;31283;1198800
19699;2019;Chambord;12566;1198800
11009;2001;La Grande vie;26848;1209600
15528;2015;Le Bouton de nacre;18565;1213847,64
17776;2018;Oh Lucy!;16720;1150000
1916;2002;Satin rouge;22674;1242000
10626;2008;Mascarades;19877;1242000
21164;2021;Suzanna Andler;9052;1242000
13687;2013;Juliette;8400;1243843,56
11950;2011;Angèle et Tony;73579;1252642,32
1253;2004;Moolaade;5300;1180000
1130;2004;Saw;215717;1200000
2642;2000;You Can Count On Me;5133;1200000
9729;2006;Open Water 2: Adrift;55495;1200000
12816;2011;Tyrannosaur;25686;1200000
753;2005;Angel-A;327730;1296000
22358;2022;Rodéo;22033;1296000
14376;2014;Le Promeneur d'oiseau;34222;1313254,08
2588;2000;Le Battement d'ailes du papillon;39457;1317600
20792;2020;Eléonore;20445;1317600
14916;2014;Retour à Ithaque;22224;1322460
10718;2009;Moi, Van Gogh;3459;1336638,24
13903;2013;Dabba (The Lunchbox);66709;1343829,96
10251;2008;Mange, ceci est mon corps;1684;1344915,36
13630;2013;L'Inconnu du lac;40092;1348831,44
1656;2003;Une affaire qui roule;12057;1350000
13533;2013;La Maison de la radio;35961;1362659,76
898;2005;La Petite Jérusalem;36481;1382400
15304;2015;Mustang;81059;1401181,2
14393;2014;Los insólitos peces gato (The Amazing Catfish);20778;1300000
15309;2015;The Second Mother;50521;1300000
9825;2007;Caramel;160206;1404000
13374;2012;Blancanieves;30961;1404000
1162;2004;J'me sens pas belle;130905;1406112,48
9826;2007;Le Fils de l'épicier;78001;1411826,76
17098;2017;Le Vénérable W.;27084;1415099,16
1173;2004;L'Esquive;39062;1436400
10520;2008;Le Plaisir de chanter;29402;1436400
1673;2003;Après la pluie, le beau temps;1801;1447200
14561;2014;Mange tes morts;18775;1470327,12
1197;2004;10ème chambre, instants d'audience;40132;1490400
18041;2008;La Troisième partie du monde;3571;1490400
1559;2003;Les Corps impatients;67050;1501200
12392;2000;Baise-moi;35669;1501200
10946;2009;Rien de personnel;54641;1501706,52
1327;2004;Incident at Loch Ness;2364;1400000
10475;2008;Shiva;28368;1400000
19480;2019;Une part d'ombre (The Benefit of the Doubt);12048;1400000
559;2006;J'invente rien;30903;1512000
11414;2006;Les Amitiés maléfiques;29589;1512000
18885;2018;Interrail;9343;1512000
16916;2008;Le Premier venu;13587;1544400
17577;2017;En attendant les Hirondelles;20278;1544400
17239;2006;13 Tzameti;23778;1566000
13182;2012;Tabu;34237;1451485
10242;2006;La Jungle;54164;1576800
11999;2010;Belle Epine;13160;1606854,24
14787;2014;Qui vive;14879;1612062
927;2005;The Squid and the Whale;23831;1500000
954;2005;The Ballad of Jack And Rose;12238;1500000
1594;2003;Cabin Fever;67248;1500000
1896;2002;Nueve reinas (Nine Queens);49910;1500000
9765;2007;Ha- Buah;28792;1500000
10130;2007;[Rec];167270;1500000
10854;2009;[Rec] 2;251117;1500000
11186;2006;The Road to Guantanamo;11039;1500000
12062;2011;Insidious;193688;1500000
12410;2011;Den kæmpestore bjørn (The Great Bear);25304;1500000
15120;2014;Simindis kundzuli;9012;1500000
16027;2016;Southside with You;13067;1500000
17882;2018;Unsane;88704;1500000
18070;2001;The Believer;10864;1500000
18259;2018;El libro de Lila (Lila's Book);14025;1500000
156;2007;Antonio Vivaldi: Un prince à Venise;29523;1620000
523;2006;Beur blanc rouge;48382;1620000
10673;2009;La Journée de la jupe;38047;1620000
10872;2009;Vertige;43488;1620000
12348;2011;La Guerre est déclarée;209728;1620000
16772;2017;Fleur de Tonnerre;19031;1620000
19428;2012;Au cul du loup;499;1620000
1174;2004;Mondovino;51408;1525000
9756;2007;2 Days in Paris;56415;1648360,8
1151;2004;Quand la mer monte;49512;1652400
10124;2008;Didine;38516;1655562,24
11998;2010;D'amour et d'eau fraîche;20326;1682583,84
15840;2016;Les Habitants;30028;1684800
9894;2007;Ce que mes yeux ont vu;21396;1714402,8
568;2006;Bubble;13952;1600000
1802;2002;Mies vailla menneisyyttä (The Man Without a Past);170525;1600000
14259;2013;Short Term 12;27143;1600000
510;2006;Avril;44979;1728000
20153;2020;Revenir;22258;1728000
9923;2007;My Enemy's Enemy;10966;1604223
10865;2009;Marching Band;6165;1756379,16
14411;2014;Xenia;15299;1627977
1164;2004;Brodeuses;71832;1762868,88
15570;2015;Cosmos;4323;1780416,72
13790;2013;Miele;11416;1782000
16942;2005;Foon;31920;1792800
11692;2010;Captifs;26265;1812156,84
10482;2007;Naissance des pieuvres;34466;1812189,24
15170;2015;L'Astragale (2015);26412;1814676,48
11183;2010;Sweet Valentine;5399;1825200
888;2005;My Summer of Love;53400;1700000
10793;2009;The Girlfriend Experience;10395;1700000
12990;2012;Wrong;20594;1836000
10873;2009;Jaffa;29053;1702802
19807;2019;The Cordillera of Dreams;18687;1710000
1167;2004;Exils;120805;1846800
1889;2002;Swing;37087;1857600
2137;2001;Sous le sable;154347;1857600
11787;2008;Le Tueur (2008);32947;1857600
14643;2004;Anatomie de l'enfer;32714;1868400
10310;2008;Les Grandes personnes;61232;1879474,32
13375;2013;Pas très normales activités;104305;1888119,72
10341;2008;Les Bureaux de Dieu;46870;1890000
15552;2015;Demain;82144;1900800
16926;2003;Quand tu descendras du ciel;11451;1900800
14801;2014;Incompresa;8503;1911296,52
21263;2021;La Troisième guerre;7504;1933200
15596;2015;Francofonia, le Louvre sous l’Occupation;11236;1934391,24
15007;2015;Réalité;40908;1940664,96
1985;2002;El Crimen del Padre Amaro;7496;1800000
11256;2010;The Last Exorcism;150181;1800000
15206;2015;La Loi du Marché;29619;1944000
15576;2015;Comment c'est loin;98370;1944000
15824;2016;Le Fils de Joseph;13050;1944000
18175;2018;Une année polaire;27186;1944000
22999;2023;Les Déguns 2;307587;1944000
10603;2008;Les Plages d'Agnès;37452;1956883,32
1607;2003;Maléfique;49182;1976400
462;2006;Ils;106182;1987200
22780;2023;Le Bleu de Caftan;54381;1987200
10867;2009;Fais-moi plaisir;61272;2018791,08
9933;2007;La France;8542;2046335,4
15722;2016;Peur de rien;20660;2051518,32
1670;2003;Northfork;5449;1900000
10378;2002;Requiem;40143;2052000
14672;2002;Sex is Comedy;42124;2052000
899;2005;Douches froides;55485;2073600
10405;2008;Tabarly;25484;2103638,04
14396;2014;Adieu au langage (Goodbye to Language);5353;2112420,6
10304;2008;Française;38233;2148234,48
519;2006;Sauf le respect que je vous dois;40813;2149200
9845;2007;Cartouches gauloises;33828;2149200
20146;2020;Un divan à Tunis;118486;2149200
14216;2014;Tom à la ferme;56681;2153751,12
134;2007;Reno 911!: Miami;1321;10000000
200;2007;Saw IV;294553;10000000
562;2006;Chromophobia;31821;10000000
