ID,annee,titre,budget,premiere_semaine
1,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,155 000 000 $,706 165
2,2009,Ice Age: Dawn of the Dinosaurs,90 000 000 $,2 403 734
3,2008,Asterix aux Jeux Olympiques,74 982 618 €,3 007 811
4,2008,Quantum of Solace,225 000 000 $,1 703 897
5,2008,Indiana Jones and the Kingdom of the Crystal Skull,185 000 000 $,1 674 041
6,2008,The Chronicles of Narnia: Prince Caspian,225 000 000 $,994 686
7,2008,The Dark Knight,185 000 000 $,1 271 688
8,2008,Kung Fu Panda,130 000 000 $,955 571
9,2008,The Mummy: Tomb of the Dragon Emperor,175 000 000 $,695 628
10,2008,Hellboy 2 : The Golden Army,85 000 000 $,408 413
11,2008,Madagascar: Escape 2 Africa,150 000 000 $,1 338 230
12,2009,Harry Potter and the Half-Blood Prince,200 000 000 $,2 882 397
13,2008,Rambo,50 000 000 $,391 630
14,2008,Babylon A.D.,61 479 748 €,408 410
15,2008,Inkheart,60 000 000 $,112 619
16,2008,Iron Man,140 000 000 $,866 316
17,2008,Speed Racer,120 000 000 $,61 860
18,2008,The Incredible Hulk,125 000 000 $,517 088
19,2008,Hancock,150 000 000 $,1 265 163
20,2008,"10,000 B.C.",105 000 000 $,474 853
21,2009,Angels & Demons,150 000 000 $,805 694
22,2009,Revolutionary Road,35 000 000 $,409 884
24,2008,The Curious Case of Benjamin Button,150 000 000 $,826 315
25,2007,Spider-Man 3,258 000 000 $,804 345
26,2007,La Môme,20 757 242 €,1 573 648
27,2007,Taxi 4,17 316 532 €,2 010 736
28,2007,Pirates of the Caribbean : At World's End,300 000 000 $,2 709 377
29,2007,"Ensemble, c'est tout",12 215 023 €,657 191
30,2007,300,60 000 000 $,802 975
31,2006,Das Leben der Anderen (The Lives of Others),2 000 000 $,135 858
32,2007,Le Prix à payer (2007),12 150 000 €,473 489
33,2007,Molière,11 581 667 €,341 820
34,2007,Ghost Rider,120 000 000 $,523 901
35,2007,Mr Bean's Holiday,20 000 000 $,383 904
36,2007,Bridge to Terabithia,60 000 000 $,361 394
37,2007,Danse avec lui,8 880 000 €,361 071
38,2007,Zodiac,85 000 000 $,462 343
40,2007,Contre-enquête,7 600 000 €,323 499
41,2007,Michou d'Auber,12 260 000 €,328 476
42,2007,Jacquou Le Croquant,20 311 000 €,378 651
43,2007,Odette Toulemonde,9 100 000 €,317 479
44,2007,Pars vite et reviens tard,16 026 815 €,420 262
45,2007,Je crois que je l'aime,7 700 000 €,360 449
46,2007,Le Serpent (2007),8 800 000 €,304 325
47,2007,Music & Lyrics,40 000 000 $,414 487
48,2007,Hannibal Rising,57 172 165 €,321 940
50,2007,The Number 23,30 000 000 $,237 466
52,2007,L'ïle au(x) trésor(s),15 200 000 €,271 757
53,2007,Demandez la permission aux enfants!,5 300 000 €,164 631
54,2007,Shooter,60 000 000 $,183 930
55,2007,J'veux pas que tu t'en ailles,3 960 000 €,154 632
56,2007,Les Témoins (2007),6 800 000 €,132 701
58,2007,Goodbye Bafana,9 750 000 $,157 484
59,2007,Pur week-end,4 210 055 €,33 439
60,2006,Le Vilain petit canard et moi,5 950 000 €,98 068
61,2007,Stomp the Yard,14 000 000 $,182 247
63,2007,Dialogue avec mon jardinier,8 730 000 €,321 480
64,2007,La Tête de maman,6 800 000 €,171 584
65,2007,Truands,4 000 000 €,173 561
66,2007,Hellphone,7 400 000 €,172 357
67,2007,Norbit,60 000 000 $,135 779
68,2007,Freedom Writers,21 000 000 $,163 878
69,2007,Epic Movie,20 000 000 $,136 000
70,2007,Scorpion,4 260 000 €,130 295
71,2007,Très bien merci,2 190 000 €,70 742
72,2006,Golden door,11 700 000 €,90 015
75,2007,88 Minutes,30 000 000 $,135 889
76,2007,Les Ambitieux,3 420 000 €,126 296
77,2007,Le Scaphandre et le papillon,10 800 000 €,101 785
82,2007,Anna M.,3 290 000 €,59 868
83,2007,J'attends quelqu'un,3 500 000 €,67 017
85,2007,La Reine Soleil,5 330 000 €,61 454
86,2007,Angel (2007),14 920 000 €,102 276
88,2007,La Disparue de Deauville,5 233 975 €,104 753
90,2007,Jean de La Fontaine,7 490 000 €,83 188
91,2007,Love (et ses petits désastres),10 570 000 €,77 338
93,2007,TMNT,34 000 000 $,87 463
99,2007,Zone libre,3 800 000 €,58 241
100,2007,Ma place au soleil,4 270 000 €,78 346
101,2007,Ne touchez pas la hache,3 930 000 €,30 673
102,2007,Le Candidat,2 400 000 €,40 156
103,2007,The Messengers,16 000 000 $,53 396
104,2007,Après lui,4 000 000 €,48 448
105,2007,Nue propriété,2 350 000 €,28 565
109,2007,Dans les cordes (2007),2 540 000 €,15 089
110,2007,The Namesake,9 500 000 $,11 829
112,2007,Black Snake Moan,15 000 000 $,10 402
114,2007,Wild Hogs,60 000 000 $,150 362
115,2007,The Hoax,50 000 000 $,31 206
116,2007,Shrek the Third,160 000 000 $,1 751 471
117,2007,A l'intérieur,2 500 000 €,36 266
118,2007,Gomes Vs Tavares,7 780 000 €,93 549
119,2007,The Hills Have Eyes II (2007),15 000 000 $,193 755
120,2007,Ocean's Thirteen,85 000 000 $,871 826
121,2007,Fragile(s),3 910 000 €,92 736
