,ID_x,titre_original,acteur_1,acteur_2,acteur_3,acteur_4,real_1,real_2,real_3,scen_1,scen_2,scen_3,scen_4,score_disctrib,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,pays,jour_sortie,mois_sortie,annee_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,Budget_dollards,ID_y,annee,titre,premiere_semaine,budget
0,1317,Vivre!,AymericCormerais,Jean-JacquesLeVessier,GaelTanniou,LydieWai,YvonMarciano,,,YvonMarciano,,,,"0,01105",Comédie dramatique,,,,,,,France,7.0,10.0,2009.0,2.0,1.9,103.0,3012.0,,,,,,
1,2314,Pasazerka,AnnaCiepielewska,AleksandraSlaska,JanKreczmar,MarekWalczewski,AndrzejMunk,WitoldLesiewicz,,ZofiaPosmysz,AndrzejMunk,ZofiaPosmysz,,"0,01083",Drame,,,,,,,Pologne,28.0,10.0,1964.0,2.0,4.6,62.0,1420.0,,,,,,
2,3239,TheLodger:AStoryoftheLondonFog,MarieAult,ArthurChesney,ReginaldGardiner,AlfredHitchcock,AlfredHitchcock,,,EliotStannard,AlfredHitchcock,MarieBellocLowndes,,"0,01354",Policier, Drame,,,,,,Grande-Bretagne,17.0,11.0,2010.0,2.0,5.0,79.0,615.0,15240.0,,,,,
3,4389,SaoBernardo,RodolfoArena,OthonBastos,LuizCarlosBraga,JosefGuerreiro,LeonHirszman,,,LeonHirszman,GracilianoRamos,,,"0,01328",Drame,,,,,,,Brésil,11.0,6.0,2014.0,2.0,4.3,113.0,156.0,,,,,,
4,5134,ElOtroCristobal,JeanBouise,AldenKnight,BertinaAcevedo,PierreChaussat,ArmandGatti,,,ArmandGatti,AdamUlrych,,,"0,01423",Fantastique,,,,,,,Cuba,18.0,9.0,2019.0,2.0,4.0,115.0,436.0,,,,,,
5,5598,TorchSongTrilogy,AnneBancroft,MatthewBroderick,HarveyFierstein,BrianKerwin,PaulBogart,,,HarveyFierstein,HarveyFierstein,,,"0,01354",Comédie dramatique,,,,,,,U.S.A.,2.0,5.0,1990.0,2.0,4.0,120.0,661.0,4865997.0,,,,,
6,5818,Titanic,LeonardoDiCaprio,KateWinslet,BillyZane,KathyBates,JamesCameron,,,JamesCameron,,,,"0,02489",Drame, Romance,,,,,,U.S.A.,7.0,1.0,1998.0,2.0,4.9,194.0,498212.0,200000000.0,,,,,
7,5847,OctobreaParis,,,,,JacquesPanijel,,,,,,,"0,01144",Documentaire,,,,,,,France,19.0,10.0,2011.0,2.0,3.8,70.0,1651.0,,,,,,
8,6318,L'Enfer,EmmanuelleBeart,KarinViard,MarieGillain,CaroleBouquet,DanisTanovic,,,KryzsztofPiesiewicz,KrzysztofKieslowski,KryzsztofPiesiewicz,,"0,01427",Drame,,,,,,,France,30.0,11.0,2005.0,2.0,2.2,95.0,43689.0,595618.0,,,,,
9,6328,Anna,AnnaKarina,Jean-ClaudeBrialy,SergeGainsbourg,MarianneFaithfull,PierreKoralnik,,,PierreKoralnik,Jean-LoupDabadie,,,"0,01083",Comédie musicale, Romance,,,,,,France,13.0,1.0,1967.0,4.0,4.0,87.0,1417.0,,,,,,
