distrib_score,Action,Animation,Aventure,Biopic,Comedie,Comedie dramatique,Comedie musicale,Drame,Epouvante-horreur,Famille,Fantastique,Guerre,Historique,Musical,Policier,Romance,Science Fiction,Thriller,Western,France,USA,Angleterre,Autres,jour_sortie,mois_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,budget_dollars,acteur_score,directors_score,scenarist_score,nombre_jour,jour_sortie_norm,cos_jour_mois,sin_jour_mois,cos_mois,sin_mois,cos_jour_semaine,sin_jour_semaine
0.01473,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,4,2,2.0,99,228318,1,1.6358157851787303,1.1194212970402644,0.0,30,0.6666666666666666,-0.5000000000000004,-0.8660254037844385,6.123233995736766e-17,1.0,0.6234898018587336,0.7818314824680298
0.01495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,3,3.1,171,10072,1,2.733723461643141,1.2080924198794971,0.283480979676915,31,0.3225806451612903,-0.4403941515576344,0.8978045395707416,1.0,0.0,-0.22252093395631434,0.9749279121818236
0.00998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,5,2,3.5,76,23197,2,3.3609432974549143,2.713919908476792,1.7947799873365944,31,1.0,1.0,-2.4492935982947064e-16,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
0.01664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,6,2,1.5,85,55577,4,3.8419811248574898,1.6547983058557256,0.8747611603265589,30,0.7333333333333333,-0.10452846326765423,-0.9945218953682733,-0.8660254037844385,0.5000000000000003,0.6234898018587336,0.7818314824680298
0.02973,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,12,2,4.5,138,108185,5,3.898408346733874,1.4838477170463866,0.4794313047603571,31,0.45161290322580644,-0.9541392564000488,0.29936312297335804,0.8660254037844384,-0.5000000000000004,0.6234898018587336,0.7818314824680298
0.02466,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,11,2,2.9,115,15017,6,2.8388288061669513,2.5479861142240865,1.6182487518700936,30,0.7333333333333333,-0.10452846326765423,-0.9945218953682733,0.49999999999999933,-0.866025403784439,0.6234898018587336,0.7818314824680298
0.02284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16,8,2,3.9,187,849,8,2.8437851639261686,1.7407629037958796,0.8715990444545303,31,0.5161290322580645,-0.9948693233918952,-0.10116832198743204,-0.8660254037844388,-0.4999999999999997,0.6234898018587336,0.7818314824680298
0.01384,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,2,1.3,96,3443,8,1.0258944945101072,0.8835557882156889,0.0,31,0.7096774193548387,-0.2506525322587205,-0.9680771188662043,1.0,0.0,0.6234898018587336,0.7818314824680298
0.04368,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,28,10,2,2.5,107,88390,11,3.7428022395564025,1.8089252285935384,0.8428803831147121,31,0.9032258064516129,0.8207634412072763,-0.5712682150947924,-1.8369701987210297e-16,-1.0,0.6234898018587336,0.7818314824680298
0.01423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,8,2,3.6,103,11000,12,2.7025037676715704,1.0688110888944686,0.2168953737479011,31,0.8387096774193549,0.5289640103269624,-0.8486442574947509,-0.8660254037844388,-0.4999999999999997,0.6234898018587336,0.7818314824680298
